"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","EappInt","MHV","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4301","79618812","79618812-2012-08-14",50,40,2012-08-14,"HA1",2012,"M","Adult",13782.8571428571,0,0,0,NA,0,1,0,2,2,0.5,2,3,0.4,8,7,0.533333333333333,8,7,0.533333333333333,8,8,0.5,8,10,0.444444444444444,9,13,0.409090909090909,9,15,0.375,13,30,0.302325581395349,16,40,0.285714285714286,23,47,0.328571428571429,23,50,0.315068493150685,23,50,0.315068493150685,23,50,0.315068493150685,23,50,0.315068493150685
"4327","67123054","67123054-2012-08-02",70,90,2012-08-02,"HA1",2012,"M","Adult",60.8695652173913,0,0,0,NA,3,1,0.75,5,5,0.5,5,7,0.416666666666667,5,8,0.384615384615385,6,8,0.428571428571429,6,8,0.428571428571429,10,10,0.5,10,11,0.476190476190476,11,11,0.5,12,14,0.461538461538462,13,22,0.371428571428571,15,29,0.340909090909091,16,34,0.32,20,38,0.344827586206897,21,48,0.304347826086957,21,49,0.3
"4333","67123054","67123054-2012-08-16",80,90,2012-08-16,"HA1",2012,"M","Adult",5.55555555555556,0,0,1,0,1,6,0.142857142857143,3,7,0.3,5,7,0.416666666666667,8,13,0.380952380952381,8,14,0.363636363636364,8,15,0.347826086956522,9,16,0.36,12,16,0.428571428571429,12,18,0.4,13,20,0.393939393939394,16,22,0.421052631578947,20,32,0.384615384615385,20,42,0.32258064516129,22,48,0.314285714285714,25,54,0.316455696202532,26,63,0.292134831460674
"4373","79786360","79786360-2012-08-28",30,10,2012-08-28,"HA1",2012,"F","NotAdult",300,0,0,0,NA,0,1,0,2,3,0.4,3,8,0.272727272727273,4,12,0.25,5,12,0.294117647058824,5,13,0.277777777777778,6,20,0.230769230769231,8,22,0.266666666666667,9,24,0.272727272727273,11,30,0.268292682926829,16,36,0.307692307692308,17,40,0.298245614035088,17,47,0.265625,22,52,0.297297297297297,27,64,0.296703296703297,28,67,0.294736842105263
"4384","66843623","66843623-2012-08-15",100,80,2012-08-15,"HA1",2012,"M","NotAdult",4600,0,1,3,0.25,1,4,0.2,2,4,0.333333333333333,2,5,0.285714285714286,2,6,0.25,3,9,0.25,3,9,0.25,3,12,0.2,5,14,0.263157894736842,5,14,0.263157894736842,12,18,0.4,15,20,0.428571428571429,18,21,0.461538461538462,21,26,0.446808510638298,23,37,0.383333333333333,24,41,0.369230769230769,25,47,0.347222222222222
"4393","79797834","79797834-2012-08-28",60,80,2012-08-28,"HA1",2012,"F","NotAdult",540,0,0,0,NA,2,1,0.666666666666667,2,4,0.333333333333333,6,6,0.5,9,9,0.5,10,12,0.454545454545455,10,13,0.434782608695652,12,13,0.48,14,15,0.482758620689655,15,19,0.441176470588235,18,32,0.36,20,38,0.344827586206897,21,47,0.308823529411765,23,54,0.298701298701299,26,66,0.282608695652174,28,67,0.294736842105263,28,67,0.294736842105263
"4421","79623797","79623797-2012-08-30",10,40,2012-08-30,"HA1",2012,"M","Adult",872.222222222222,0,0,1,0,1,3,0.25,1,4,0.2,1,7,0.125,3,14,0.176470588235294,3,15,0.166666666666667,4,22,0.153846153846154,4,23,0.148148148148148,5,25,0.166666666666667,6,30,0.166666666666667,8,33,0.195121951219512,13,38,0.254901960784314,17,45,0.274193548387097,23,54,0.298701298701299,26,62,0.295454545454545,29,73,0.284313725490196,29,73,0.284313725490196
"4476","79796354","79796354-2012-09-11",80,20,2012-09-11,"HA1",2012,"M","Adult",61.5384615384615,0,0,1,0,1,3,0.25,2,4,0.333333333333333,2,8,0.2,6,12,0.333333333333333,6,13,0.315789473684211,6,16,0.272727272727273,7,17,0.291666666666667,7,19,0.269230769230769,8,20,0.285714285714286,12,22,0.352941176470588,15,30,0.333333333333333,17,43,0.283333333333333,23,63,0.267441860465116,28,70,0.285714285714286,30,76,0.283018867924528,30,79,0.275229357798165
"4482","79637279","79637279-2012-09-12",0,100,2012-09-12,"HA1",2012,"M","Adult",12.1212121212121,0,0,2,0,0,6,0,0,7,0,0,10,0,0,13,0,0,13,0,2,14,0.125,2,15,0.117647058823529,2,16,0.111111111111111,2,16,0.111111111111111,3,20,0.130434782608696,5,28,0.151515151515152,9,37,0.195652173913043,14,50,0.21875,17,59,0.223684210526316,25,70,0.263157894736842,31,82,0.274336283185841
"4493","79795857","79795857-2012-09-13",30,100,2012-09-13,"HA1",2012,"M","Adult",21.0526315789474,0,2,1,0.666666666666667,2,5,0.285714285714286,2,6,0.25,3,7,0.3,3,10,0.230769230769231,3,14,0.176470588235294,4,19,0.173913043478261,6,23,0.206896551724138,6,25,0.193548387096774,8,26,0.235294117647059,13,36,0.26530612244898,13,45,0.224137931034483,16,57,0.219178082191781,22,68,0.244444444444444,27,78,0.257142857142857,29,87,0.25,33,100,0.24812030075188
"4511","67006795","67006795-2012-09-25",20,40,2012-09-25,"HA1",2012,"M","Adult",9672.72727272727,0,0,2,0,0,9,0,2,12,0.142857142857143,3,17,0.15,3,22,0.12,4,26,0.133333333333333,5,28,0.151515151515152,6,35,0.146341463414634,6,36,0.142857142857143,6,37,0.13953488372093,14,50,0.21875,16,63,0.20253164556962,25,80,0.238095238095238,30,91,0.247933884297521,36,105,0.25531914893617,36,105,0.25531914893617,36,105,0.25531914893617
"4517","66818332","66818332-2012-09-11",10,80,2012-09-11,"HA1",2012,"F","Adult",69.3877551020408,0,0,2,0,0,4,0,0,7,0,0,8,0,0,13,0,2,14,0.125,2,14,0.125,2,16,0.111111111111111,3,18,0.142857142857143,3,21,0.125,5,27,0.15625,11,33,0.25,17,47,0.265625,23,60,0.27710843373494,28,68,0.291666666666667,29,74,0.281553398058252,29,79,0.268518518518519
"4558","79632292","79632292-2012-09-13",100,10,2012-09-13,"HA1",2012,"M","Adult",354.545454545455,1,1,2,0.333333333333333,1,5,0.166666666666667,1,5,0.166666666666667,1,7,0.125,1,10,0.0909090909090909,2,11,0.153846153846154,2,11,0.153846153846154,4,14,0.222222222222222,5,14,0.263157894736842,5,14,0.263157894736842,8,19,0.296296296296296,10,27,0.27027027027027,17,35,0.326923076923077,19,41,0.316666666666667,24,59,0.289156626506024,30,80,0.272727272727273,32,88,0.266666666666667
"4596","79786569","79786569-2012-09-27",60,100,2012-09-27,"HA1",2012,"M","Adult",511.111111111112,0,1,3,0.25,6,4,0.6,6,6,0.5,7,10,0.411764705882353,7,14,0.333333333333333,7,16,0.304347826086957,10,18,0.357142857142857,10,20,0.333333333333333,11,21,0.34375,14,24,0.368421052631579,18,38,0.321428571428571,20,55,0.266666666666667,23,63,0.267441860465116,25,74,0.252525252525253,28,84,0.25,31,97,0.2421875,34,110,0.236111111111111
"4598","66866543","66866543-2012-09-27",50,0,2012-09-27,"HA1",2012,"F","NotAdult",2276.92307692308,0,0,1,0,1,2,0.333333333333333,1,2,0.333333333333333,2,7,0.222222222222222,3,11,0.214285714285714,3,12,0.2,3,14,0.176470588235294,6,15,0.285714285714286,8,18,0.307692307692308,9,22,0.290322580645161,13,38,0.254901960784314,18,59,0.233766233766234,21,67,0.238636363636364,22,71,0.236559139784946,25,81,0.235849056603774,29,93,0.237704918032787,36,110,0.246575342465753
"4646","79617035","79617035-2012-10-09",100,0,2012-10-09,"HA1",2012,"F","Adult",54857.1428571429,0,0,0,NA,2,2,0.5,2,3,0.4,2,6,0.25,2,7,0.222222222222222,2,9,0.181818181818182,3,14,0.176470588235294,3,15,0.166666666666667,4,16,0.2,4,17,0.19047619047619,9,22,0.290322580645161,11,27,0.289473684210526,14,38,0.269230769230769,19,51,0.271428571428571,25,67,0.271739130434783,30,89,0.252100840336134,34,107,0.24113475177305
"4648","79775849","79775849-2012-10-09",100,40,2012-10-09,"HA1",2012,"F","Adult",60.7142857142857,0,0,0,NA,1,3,0.25,1,5,0.166666666666667,1,7,0.125,3,10,0.230769230769231,3,14,0.176470588235294,7,19,0.269230769230769,10,21,0.32258064516129,10,23,0.303030303030303,11,29,0.275,19,44,0.301587301587302,19,53,0.263888888888889,25,62,0.28735632183908,29,77,0.273584905660377,31,90,0.256198347107438,37,113,0.246666666666667,38,126,0.231707317073171
"4654","79790568","79790568-2012-10-09",90,80,2012-10-09,"HA1",2012,"M","Adult",38.0952380952381,0,2,1,0.666666666666667,4,9,0.307692307692308,5,16,0.238095238095238,6,16,0.272727272727273,7,24,0.225806451612903,9,26,0.257142857142857,9,28,0.243243243243243,11,31,0.261904761904762,16,35,0.313725490196078,17,36,0.320754716981132,19,43,0.306451612903226,23,48,0.323943661971831,27,62,0.303370786516854,30,82,0.267857142857143,31,104,0.22962962962963,36,117,0.235294117647059,37,127,0.225609756097561
"4661","79630840","79630840-2012-10-09",70,70,2012-10-09,"HA1",2012,"F","NotAdult",35200,0,0,1,0,0,2,0,3,7,0.3,5,10,0.333333333333333,10,18,0.357142857142857,10,21,0.32258064516129,14,25,0.358974358974359,17,39,0.303571428571429,19,44,0.301587301587302,20,44,0.3125,27,57,0.321428571428571,28,79,0.261682242990654,31,99,0.238461538461538,36,116,0.236842105263158,37,127,0.225609756097561,39,132,0.228070175438596,39,132,0.228070175438596
"4664","79786569","79786569-2012-10-09",60,70,2012-10-09,"HA1",2012,"M","Adult",61800,0,0,0,NA,3,2,0.6,3,4,0.428571428571429,5,6,0.454545454545455,6,15,0.285714285714286,6,20,0.230769230769231,8,26,0.235294117647059,15,29,0.340909090909091,17,37,0.314814814814815,20,41,0.327868852459016,27,71,0.275510204081633,28,90,0.23728813559322,31,105,0.227941176470588,37,126,0.226993865030675,38,132,0.223529411764706,39,132,0.228070175438596,39,132,0.228070175438596
"4665","79781605","79781605-2012-10-09",60,40,2012-10-09,"HA1",2012,"F","Adult",12600,0,0,1,0,3,4,0.428571428571429,5,5,0.5,8,8,0.5,9,13,0.409090909090909,10,18,0.357142857142857,11,19,0.366666666666667,12,25,0.324324324324324,13,27,0.325,13,32,0.288888888888889,25,67,0.271739130434783,29,94,0.235772357723577,37,117,0.24025974025974,39,129,0.232142857142857,39,132,0.228070175438596,39,132,0.228070175438596,39,132,0.228070175438596
"4736","79769626","79769626-2012-10-09",40,80,2012-10-09,"HA1",2012,"F","Adult",16933.3333333333,0,0,1,0,0,3,0,0,5,0,0,6,0,6,11,0.352941176470588,10,21,0.32258064516129,10,24,0.294117647058824,11,34,0.244444444444444,13,42,0.236363636363636,13,46,0.220338983050847,19,72,0.208791208791209,27,83,0.245454545454545,31,98,0.24031007751938,34,112,0.232876712328767,37,130,0.221556886227545,39,132,0.228070175438596,39,132,0.228070175438596
"4751","79639272","79639272-2012-10-10",0,90,2012-10-10,"HA1",2012,"M","Adult",444.444444444444,0,1,3,0.25,1,10,0.0909090909090909,1,16,0.0588235294117647,1,17,0.0555555555555556,1,21,0.0454545454545455,1,22,0.0434782608695652,1,23,0.0416666666666667,4,26,0.133333333333333,4,30,0.117647058823529,4,33,0.108108108108108,5,43,0.104166666666667,8,52,0.133333333333333,13,68,0.160493827160494,16,86,0.156862745098039,25,104,0.193798449612403,34,119,0.222222222222222,38,136,0.218390804597701
"4785","79770053","79770053-2012-10-25",10,20,2012-10-25,"HA1",2012,"M","Adult",11.7647058823529,0,0,3,0,3,12,0.2,4,18,0.181818181818182,5,27,0.15625,7,38,0.155555555555556,7,41,0.145833333333333,8,42,0.16,8,45,0.150943396226415,10,48,0.172413793103448,10,50,0.166666666666667,10,69,0.126582278481013,12,84,0.125,21,100,0.173553719008264,23,126,0.154362416107383,32,148,0.177777777777778,41,176,0.188940092165899,44,190,0.188034188034188
"4928","79782524","79782524-2012-11-07",80,70,2012-11-07,"HA1",2012,"F","Adult",5719.14893617021,0,0,0,NA,1,8,0.111111111111111,4,12,0.25,5,23,0.178571428571429,12,34,0.260869565217391,17,41,0.293103448275862,18,44,0.290322580645161,22,52,0.297297297297297,23,62,0.270588235294118,24,64,0.272727272727273,30,77,0.280373831775701,35,101,0.257352941176471,38,129,0.227544910179641,40,160,0.2,44,181,0.195555555555556,46,201,0.186234817813765,48,202,0.192
"4976","79776883","79776883-2012-11-07",90,80,2012-11-07,"HA1",2012,"M","Adult",7.14285714285714,0,2,2,0.5,4,12,0.25,8,23,0.258064516129032,9,24,0.272727272727273,11,34,0.244444444444444,13,39,0.25,13,41,0.240740740740741,15,46,0.245901639344262,21,50,0.295774647887324,22,53,0.293333333333333,25,65,0.277777777777778,30,75,0.285714285714286,35,101,0.257352941176471,38,128,0.228915662650602,39,159,0.196969696969697,44,180,0.196428571428571,45,193,0.189075630252101
"5055","79782524","79782524-2012-11-21",100,100,2012-11-21,"HA1",2012,"F","Adult",3.2258064516129,0,0,1,0,3,6,0.333333333333333,3,6,0.333333333333333,6,15,0.285714285714286,8,22,0.266666666666667,8,24,0.25,11,33,0.25,12,38,0.24,12,40,0.230769230769231,14,44,0.241379310344828,18,55,0.246575342465753,24,69,0.258064516129032,29,87,0.25,33,104,0.240875912408759,40,133,0.23121387283237,41,165,0.199029126213592,43,186,0.187772925764192
