"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","EappInt","Tryps","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4611","66818332","66818332-2012-09-11",10,80,2012-09-11,"HA1",2012,"F","Adult",69.3877551020408,0,0,2,0,0,7,0,1,10,0.0909090909090909,1,12,0.0769230769230769,1,20,0.0476190476190476,1,23,0.0416666666666667,1,23,0.0416666666666667,1,25,0.0384615384615385,1,29,0.0333333333333333,1,34,0.0285714285714286,1,47,0.0208333333333333,2,58,0.0333333333333333,3,79,0.0365853658536585,8,96,0.0769230769230769,9,113,0.0737704918032787,9,121,0.0692307692307692,9,126,0.0666666666666667
"4752","66843623","66843623-2012-08-15",100,80,2012-08-15,"HA1",2012,"M","NotAdult",4600,0,0,4,0,0,6,0,0,7,0,0,8,0,0,10,0,2,12,0.142857142857143,2,12,0.142857142857143,2,15,0.117647058823529,2,19,0.0952380952380952,2,19,0.0952380952380952,2,30,0.0625,3,34,0.0810810810810811,4,38,0.0952380952380952,4,46,0.08,4,59,0.0634920634920635,4,65,0.0579710144927536,5,71,0.0657894736842105
"5120","66866543","66866543-2012-09-27",50,0,2012-09-27,"HA1",2012,"F","NotAdult",2276.92307692308,0,0,1,0,0,3,0,0,3,0,0,9,0,1,13,0.0714285714285714,1,14,0.0666666666666667,1,16,0.0588235294117647,3,19,0.136363636363636,5,24,0.172413793103448,5,30,0.142857142857143,8,51,0.135593220338983,9,79,0.102272727272727,9,91,0.09,9,100,0.0825688073394495,11,119,0.0846153846153846,12,139,0.0794701986754967,15,166,0.0828729281767956
"5309","66878865","66878865-2012-08-29",100,80,2012-08-29,"HA1",2012,"M","Adult",4,0,0,5,0,0,9,0,0,12,0,0,13,0,0,16,0,2,18,0.1,2,18,0.1,2,21,0.0869565217391304,2,26,0.0714285714285714,2,27,0.0689655172413793,2,39,0.0487804878048781,3,45,0.0625,4,49,0.0754716981132075,4,60,0.0625,4,75,0.0506329113924051,5,85,0.0555555555555556,6,94,0.06
"5793","67006795","67006795-2012-09-25",20,40,2012-09-25,"HA1",2012,"M","Adult",9672.72727272727,0,0,2,0,1,9,0.1,2,14,0.125,2,23,0.08,3,29,0.09375,3,37,0.075,4,40,0.0909090909090909,5,51,0.0892857142857143,5,53,0.0862068965517241,5,55,0.0833333333333333,6,78,0.0714285714285714,7,94,0.0693069306930693,9,121,0.0692307692307692,10,142,0.0657894736842105,14,163,0.0790960451977401,14,165,0.0782122905027933,14,165,0.0782122905027933
"5794","67006795","67006795-2012-10-09",20,40,2012-10-09,"HA1",2012,"M","Adult",4844.44444444444,0,0,3,0,1,10,0.0909090909090909,2,15,0.117647058823529,2,24,0.0769230769230769,4,30,0.117647058823529,4,38,0.0952380952380952,5,41,0.108695652173913,6,53,0.101694915254237,6,57,0.0952380952380952,7,59,0.106060606060606,8,86,0.0851063829787234,9,105,0.0789473684210526,11,133,0.0763888888888889,13,158,0.0760233918128655,19,183,0.0940594059405941,19,187,0.0922330097087379,19,187,0.0922330097087379
"5813","67007587","67007587-2012-08-30",10,70,2012-08-30,"HA1",2012,"M","Adult",850,0,0,2,0,0,6,0,0,9,0,0,10,0,0,12,0,0,16,0,0,19,0,0,23,0,0,29,0,0,30,0,1,40,0.024390243902439,1,64,0.0153846153846154,4,75,0.0506329113924051,6,89,0.0631578947368421,7,97,0.0673076923076923,7,112,0.0588235294117647,7,115,0.0573770491803279
"6396","67123054","67123054-2012-08-02",70,90,2012-08-02,"HA1",2012,"M","Adult",60.8695652173913,0,0,0,NA,0,4,0,1,9,0.1,1,11,0.0833333333333333,1,13,0.0714285714285714,1,14,0.0666666666666667,1,15,0.0625,1,21,0.0454545454545455,1,22,0.0434782608695652,1,23,0.0416666666666667,1,28,0.0344827586206897,1,37,0.0263157894736842,2,45,0.0425531914893617,2,51,0.0377358490566038,2,59,0.0327868852459016,3,69,0.0416666666666667,3,70,0.0410958904109589
"6397","67123054","67123054-2012-08-16",80,90,2012-08-16,"HA1",2012,"M","Adult",5.55555555555556,0,0,1,0,2,6,0.25,2,11,0.153846153846154,2,14,0.125,2,23,0.08,2,24,0.0769230769230769,2,25,0.0740740740740741,2,27,0.0689655172413793,2,30,0.0625,2,32,0.0588235294117647,2,35,0.0540540540540541,3,40,0.0697674418604651,4,52,0.0714285714285714,4,63,0.0597014925373134,4,71,0.0533333333333333,5,79,0.0595238095238095,5,89,0.0531914893617021
"6563","67287808","67287808-2012-08-15",90,90,2012-08-15,"HA1",2012,"F","NotAdult",9.09090909090909,0,0,0,NA,0,3,0,2,10,0.166666666666667,2,12,0.142857142857143,2,15,0.117647058823529,2,16,0.111111111111111,2,18,0.1,2,20,0.0909090909090909,2,20,0.0909090909090909,2,22,0.0833333333333333,2,31,0.0606060606060606,2,31,0.0606060606060606,4,39,0.0930232558139535,4,51,0.0727272727272727,4,60,0.0625,4,69,0.0547945205479452,5,71,0.0657894736842105
"6750","79617035","79617035-2012-10-09",100,0,2012-10-09,"HA1",2012,"F","Adult",54857.1428571429,0,0,0,NA,0,5,0,0,6,0,0,9,0,0,10,0,1,10,0.0909090909090909,1,16,0.0588235294117647,1,18,0.0526315789473684,2,19,0.0952380952380952,2,21,0.0869565217391304,3,31,0.0882352941176471,4,37,0.0975609756097561,6,48,0.111111111111111,9,71,0.1125,12,96,0.111111111111111,16,124,0.114285714285714,18,147,0.109090909090909
"6779","79618812","79618812-2012-08-14",50,40,2012-08-14,"HA1",2012,"M","Adult",13782.8571428571,0,0,0,NA,0,1,0,1,4,0.2,1,5,0.166666666666667,1,15,0.0625,1,15,0.0625,1,16,0.0588235294117647,1,18,0.0526315789473684,1,22,0.0434782608695652,1,24,0.04,2,42,0.0454545454545455,2,55,0.0350877192982456,3,68,0.0422535211267606,3,73,0.0394736842105263,3,73,0.0394736842105263,3,73,0.0394736842105263,3,73,0.0394736842105263
"6780","79618812","79618812-2012-08-28",90,70,2012-08-28,"HA1",2012,"M","Adult",4400,0,0,1,0,0,3,0,0,9,0,0,12,0,0,17,0,0,19,0,0,20,0,2,25,0.0740740740740741,2,31,0.0606060606060606,2,31,0.0606060606060606,4,41,0.0888888888888889,4,46,0.08,4,56,0.0666666666666667,4,70,0.0540540540540541,4,77,0.0493827160493827,5,89,0.0531914893617021,5,94,0.0505050505050505
"6888","79623797","79623797-2012-08-30",10,40,2012-08-30,"HA1",2012,"M","Adult",872.222222222222,0,0,2,0,0,5,0,0,6,0,1,8,0.111111111111111,1,19,0.05,1,20,0.0476190476190476,1,29,0.0333333333333333,1,34,0.0285714285714286,2,36,0.0526315789473684,2,42,0.0454545454545455,2,48,0.04,3,59,0.0483870967741935,3,71,0.0405405405405405,5,85,0.0555555555555556,5,99,0.0480769230769231,7,114,0.0578512396694215,7,115,0.0573770491803279
"7076","79630840","79630840-2012-10-09",70,70,2012-10-09,"HA1",2012,"F","NotAdult",35200,1,0,1,0,0,1,0,1,8,0.111111111111111,2,15,0.117647058823529,3,30,0.0909090909090909,3,35,0.0789473684210526,5,41,0.108695652173913,9,59,0.132352941176471,9,71,0.1125,9,72,0.111111111111111,11,96,0.102803738317757,13,121,0.0970149253731343,14,145,0.0880503144654088,19,168,0.101604278074866,19,180,0.0954773869346734,19,187,0.0922330097087379,19,187,0.0922330097087379
"7091","79632292","79632292-2012-09-13",100,10,2012-09-13,"HA1",2012,"M","Adult",354.545454545455,0,0,3,0,0,6,0,0,7,0,0,9,0,1,11,0.0833333333333333,2,12,0.142857142857143,2,13,0.133333333333333,2,18,0.1,2,20,0.0909090909090909,2,20,0.0909090909090909,3,28,0.0967741935483871,4,37,0.0975609756097561,5,56,0.0819672131147541,8,68,0.105263157894737,9,96,0.0857142857142857,13,123,0.0955882352941176,13,141,0.0844155844155844
"7190","79637279","79637279-2012-09-12",0,100,2012-09-12,"HA1",2012,"M","Adult",12.1212121212121,0,0,2,0,1,6,0.142857142857143,1,7,0.125,1,10,0.0909090909090909,1,13,0.0714285714285714,1,14,0.0666666666666667,1,18,0.0526315789473684,1,23,0.0416666666666667,1,24,0.04,1,28,0.0344827586206897,1,34,0.0285714285714286,1,48,0.0204081632653061,2,63,0.0307692307692308,6,82,0.0681818181818182,7,96,0.0679611650485437,11,118,0.0852713178294574,13,136,0.087248322147651
"7260","79639272","79639272-2012-10-10",0,90,2012-10-10,"HA1",2012,"M","Adult",444.444444444444,1,1,4,0.2,1,11,0.0833333333333333,1,17,0.0555555555555556,1,20,0.0476190476190476,1,28,0.0344827586206897,1,29,0.0333333333333333,1,33,0.0294117647058824,1,39,0.025,2,42,0.0454545454545455,3,44,0.0638297872340425,4,59,0.0634920634920635,5,78,0.0602409638554217,8,101,0.073394495412844,12,119,0.0916030534351145,19,142,0.118012422360248,22,171,0.113989637305699,27,189,0.125
"7321","79769626","79769626-2012-10-09",40,80,2012-10-09,"HA1",2012,"F","Adult",16933.3333333333,0,0,1,0,0,5,0,0,8,0,0,13,0,0,25,0,0,40,0,0,45,0,1,60,0.0163934426229508,1,69,0.0142857142857143,2,73,0.0266666666666667,8,105,0.0707964601769911,11,128,0.079136690647482,16,145,0.0993788819875776,19,161,0.105555555555556,19,182,0.0945273631840796,19,187,0.0922330097087379,19,187,0.0922330097087379
"7328","79770053","79770053-2012-10-25",10,20,2012-10-25,"HA1",2012,"M","Adult",11.7647058823529,0,2,1,0.666666666666667,2,15,0.117647058823529,3,23,0.115384615384615,4,32,0.111111111111111,7,44,0.137254901960784,7,47,0.12962962962963,7,49,0.125,7,52,0.11864406779661,7,58,0.107692307692308,7,60,0.104477611940299,8,87,0.0842105263157895,10,104,0.087719298245614,13,127,0.0928571428571429,18,154,0.104651162790698,20,192,0.0943396226415094,27,230,0.105058365758755,32,245,0.115523465703971
"7401","79774854","79774854-2012-08-29",50,50,2012-08-29,"HA1",2012,"F","Adult",240,0,0,0,NA,0,3,0,0,7,0,0,11,0,1,13,0.0714285714285714,1,15,0.0625,1,20,0.0476190476190476,1,27,0.0357142857142857,2,30,0.0625,2,32,0.0588235294117647,4,56,0.0666666666666667,6,98,0.0576923076923077,6,106,0.0535714285714286,6,108,0.0526315789473684,6,108,0.0526315789473684,6,108,0.0526315789473684,6,108,0.0526315789473684
"7422","79775849","79775849-2012-10-09",100,40,2012-10-09,"HA1",2012,"F","Adult",60.7142857142857,0,0,1,0,0,5,0,0,8,0,0,11,0,1,15,0.0625,2,17,0.105263157894737,4,24,0.142857142857143,4,31,0.114285714285714,4,32,0.111111111111111,6,38,0.136363636363636,9,61,0.128571428571429,10,73,0.120481927710843,12,93,0.114285714285714,14,113,0.110236220472441,16,134,0.106666666666667,18,164,0.0989010989010989,18,181,0.0904522613065327
"7456","79776883","79776883-2012-11-07",90,80,2012-11-07,"HA1",2012,"M","Adult",7.14285714285714,1,1,4,0.2,3,19,0.136363636363636,6,33,0.153846153846154,6,38,0.136363636363636,13,47,0.216666666666667,14,52,0.212121212121212,14,54,0.205882352941176,14,61,0.186666666666667,14,72,0.162790697674419,15,77,0.16304347826087,17,95,0.151785714285714,23,111,0.171641791044776,24,144,0.142857142857143,26,175,0.129353233830846,27,211,0.113445378151261,33,239,0.121323529411765,34,253,0.118466898954704
"7545","79781605","79781605-2012-10-09",60,40,2012-10-09,"HA1",2012,"F","Adult",12600,0,1,0,1,2,5,0.285714285714286,2,9,0.181818181818182,2,17,0.105263157894737,3,23,0.115384615384615,4,28,0.125,4,30,0.117647058823529,5,38,0.116279069767442,5,41,0.108695652173913,5,47,0.0961538461538462,12,97,0.110091743119266,16,133,0.10738255033557,18,171,0.0952380952380952,19,184,0.0935960591133005,19,187,0.0922330097087379,19,187,0.0922330097087379,19,187,0.0922330097087379
"7563","79782524","79782524-2012-11-07",80,70,2012-11-07,"HA1",2012,"F","Adult",5719.14893617021,0,0,0,NA,2,10,0.166666666666667,3,17,0.15,5,28,0.151515151515152,10,46,0.178571428571429,11,58,0.159420289855072,13,62,0.173333333333333,16,75,0.175824175824176,17,88,0.161904761904762,18,90,0.166666666666667,24,113,0.175182481751825,24,143,0.143712574850299,26,179,0.126829268292683,28,216,0.114754098360656,33,241,0.12043795620438,34,261,0.115254237288136,35,263,0.11744966442953
"7565","79782524","79782524-2012-11-21",100,100,2012-11-21,"HA1",2012,"F","Adult",3.2258064516129,0,0,1,0,1,11,0.0833333333333333,1,13,0.0714285714285714,4,24,0.142857142857143,6,32,0.157894736842105,7,33,0.175,10,43,0.188679245283019,13,50,0.206349206349206,13,52,0.2,14,58,0.194444444444444,16,74,0.177777777777778,20,97,0.170940170940171,22,120,0.154929577464789,25,143,0.148809523809524,28,179,0.135265700483092,29,216,0.118367346938776,32,243,0.116363636363636
"7659","79786360","79786360-2012-08-28",30,10,2012-08-28,"HA1",2012,"F","NotAdult",300,1,0,0,NA,0,1,0,0,5,0,0,11,0,1,15,0.0625,1,16,0.0588235294117647,1,17,0.0555555555555556,1,25,0.0384615384615385,2,28,0.0666666666666667,2,31,0.0606060606060606,2,40,0.0476190476190476,3,49,0.0576923076923077,3,55,0.0517241379310345,3,62,0.0461538461538462,3,72,0.04,3,91,0.0319148936170213,5,95,0.05
"7662","79786360","79786360-2012-09-11",30,30,2012-09-11,"HA1",2012,"F","Adult",14.2857142857143,1,0,0,NA,0,2,0,0,9,0,1,13,0.0714285714285714,2,22,0.0833333333333333,2,29,0.0645161290322581,3,32,0.0857142857142857,3,42,0.0666666666666667,3,47,0.06,3,48,0.0588235294117647,4,65,0.0579710144927536,4,78,0.0487804878048781,5,91,0.0520833333333333,7,114,0.0578512396694215,9,127,0.0661764705882353,9,129,0.0652173913043478,9,129,0.0652173913043478
"7670","79786569","79786569-2012-09-27",60,100,2012-09-27,"HA1",2012,"M","Adult",511.111111111112,0,0,5,0,0,12,0,1,14,0.0666666666666667,3,20,0.130434782608696,3,26,0.103448275862069,3,28,0.0967741935483871,3,34,0.0810810810810811,3,38,0.0731707317073171,4,40,0.0909090909090909,4,46,0.08,5,68,0.0684931506849315,5,93,0.0510204081632653,7,105,0.0625,10,121,0.0763358778625954,11,134,0.0758620689655172,15,147,0.0925925925925926,15,164,0.0837988826815642
"7671","79786569","79786569-2012-10-09",60,70,2012-10-09,"HA1",2012,"M","Adult",61800,0,0,0,NA,0,5,0,0,8,0,0,12,0,2,23,0.08,2,30,0.0625,3,40,0.0697674418604651,4,51,0.0727272727272727,6,66,0.0833333333333333,9,70,0.113924050632911,12,114,0.0952380952380952,14,133,0.0952380952380952,16,153,0.0946745562130177,19,179,0.095959595959596,19,186,0.0926829268292683,19,187,0.0922330097087379,19,187,0.0922330097087379
"7731","79790568","79790568-2012-10-09",90,80,2012-10-09,"HA1",2012,"M","Adult",38.0952380952381,0,1,3,0.25,3,15,0.166666666666667,5,22,0.185185185185185,5,24,0.172413793103448,8,32,0.2,8,35,0.186046511627907,8,37,0.177777777777778,8,42,0.16,8,52,0.133333333333333,8,56,0.125,9,69,0.115384615384615,11,81,0.119565217391304,12,100,0.107142857142857,13,124,0.0948905109489051,14,150,0.0853658536585366,19,169,0.101063829787234,19,180,0.0954773869346734
"7882","79795857","79795857-2012-09-13",30,100,2012-09-13,"HA1",2012,"M","Adult",21.0526315789474,0,0,3,0,0,10,0,0,11,0,0,15,0,0,19,0,0,25,0,0,32,0,1,37,0.0263157894736842,1,42,0.0232558139534884,1,45,0.0217391304347826,4,63,0.0597014925373134,4,76,0.05,7,95,0.0686274509803922,9,113,0.0737704918032787,12,128,0.0857142857142857,14,139,0.0915032679738562,14,156,0.0823529411764706
"7894","79796354","79796354-2012-09-11",80,20,2012-09-11,"HA1",2012,"M","Adult",61.5384615384615,1,0,0,NA,1,2,0.333333333333333,1,4,0.2,1,10,0.0909090909090909,2,18,0.1,2,20,0.0909090909090909,2,23,0.08,2,25,0.0740740740740741,2,27,0.0689655172413793,2,29,0.0645161290322581,2,39,0.0487804878048781,3,51,0.0555555555555556,5,68,0.0684931506849315,8,95,0.0776699029126214,8,116,0.0645161290322581,8,125,0.0601503759398496,9,128,0.0656934306569343
"7955","79797834","79797834-2012-08-28",60,80,2012-08-28,"HA1",2012,"F","NotAdult",540,0,0,0,NA,0,3,0,0,6,0,0,12,0,0,18,0,2,20,0.0909090909090909,2,22,0.0833333333333333,2,25,0.0740740740740741,2,31,0.0606060606060606,2,36,0.0526315789473684,3,52,0.0545454545454545,4,60,0.0625,4,69,0.0547945205479452,5,77,0.0609756097560976,5,92,0.0515463917525773,5,95,0.05,5,95,0.05
