"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","EhungInt","Tryps","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4452","52842550","52842550-2012-06-19",50,80,2012-06-19,"HA1",2012,"F","Adult",142.857142857143,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1,0,0,3,0,0,3,0,0,3,0,0,5,0,0,6,0,0,11,0,0,12,0,0,12,0,0,13,0,0,17,0,0,17,0,0,17,0
"4506","66808052","66808052-2012-11-20",40,20,2012-11-20,"HA1",2012,"M","Adult",231.578947368421,0,0,2,0,0,5,0,2,7,0.222222222222222,2,18,0.1,4,32,0.111111111111111,5,40,0.111111111111111,7,45,0.134615384615385,8,62,0.114285714285714,10,80,0.111111111111111,12,85,0.123711340206186,15,117,0.113636363636364,16,146,0.0987654320987654,18,182,0.09,29,218,0.117408906882591,36,265,0.119601328903654,37,276,0.118210862619808,37,276,0.118210862619808
"4544","66810776","66810776-2012-07-17",70,0,2012-07-17,"HA1",2012,"M","Adult",606.25,0,0,1,0,0,1,0,0,1,0,0,1,0,0,3,0,0,3,0,0,4,0,1,5,0.166666666666667,1,6,0.142857142857143,1,6,0.142857142857143,1,9,0.1,1,12,0.0769230769230769,2,24,0.0769230769230769,2,30,0.0625,2,36,0.0526315789473684,2,40,0.0476190476190476,2,45,0.0425531914893617
"4611","66818332","66818332-2012-09-11",10,80,2012-09-11,"HA1",2012,"F","Adult",673.469387755102,0,0,2,0,0,7,0,1,10,0.0909090909090909,1,12,0.0769230769230769,1,20,0.0476190476190476,1,23,0.0416666666666667,1,23,0.0416666666666667,1,25,0.0384615384615385,1,29,0.0333333333333333,1,34,0.0285714285714286,1,47,0.0208333333333333,2,58,0.0333333333333333,3,79,0.0365853658536585,8,96,0.0769230769230769,9,113,0.0737704918032787,9,121,0.0692307692307692,9,126,0.0666666666666667
"4684","66828572","66828572-2012-10-23",50,0,2012-10-23,"HA1",2012,"M","Adult",13.7931034482759,0,0,3,0,0,5,0,0,6,0,0,13,0,1,19,0.05,1,21,0.0454545454545455,1,23,0.0416666666666667,3,26,0.103448275862069,5,32,0.135135135135135,5,39,0.113636363636364,10,69,0.126582278481013,11,101,0.0982142857142857,12,118,0.0923076923076923,14,131,0.096551724137931,18,160,0.101123595505618,22,184,0.106796116504854,28,222,0.112
"4753","66843623","66843623-2012-09-28",100,90,2012-09-28,"HA1",2012,"M","Adult",246.153846153846,0,0,2,0,0,9,0,1,12,0.0769230769230769,2,15,0.117647058823529,5,23,0.178571428571429,5,23,0.178571428571429,6,24,0.2,6,28,0.176470588235294,6,31,0.162162162162162,6,34,0.15,6,50,0.107142857142857,6,63,0.0869565217391304,7,77,0.0833333333333333,9,94,0.087378640776699,9,116,0.072,11,143,0.0714285714285714,13,161,0.0747126436781609
"5006","66859820","66859820-2012-07-04",0,100,2012-07-04,"HA1",2012,"M","Adult",4.44444444444444,0,0,0,NA,0,1,0,0,2,0,0,2,0,0,3,0,0,3,0,0,4,0,0,5,0,0,6,0,0,6,0,0,8,0,0,11,0,0,15,0,0,23,0,1,28,0.0344827586206897,2,35,0.0540540540540541,2,39,0.0487804878048781
"6252","67088839","67088839-2012-10-23",20,60,2012-10-23,"HA1",2012,"M","Adult",2230.76923076923,0,1,3,0.25,1,8,0.111111111111111,1,15,0.0625,1,23,0.0416666666666667,2,37,0.0512820512820513,2,44,0.0434782608695652,2,46,0.0416666666666667,3,55,0.0517241379310345,6,66,0.0833333333333333,6,75,0.0740740740740741,12,111,0.0975609756097561,16,139,0.103225806451613,19,165,0.103260869565217,24,190,0.11214953271028,28,218,0.113821138211382,28,225,0.110671936758893,28,225,0.110671936758893
"6450","67126571","67126571-2012-06-19",60,60,2012-06-19,"HA1",2012,"F","NotAdult",7216.66666666667,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,3,0,0,5,0,0,6,0,0,10,0,0,13,0,0,13,0,0,17,0,0,17,0,0,17,0,0,17,0
"6718","79615341","79615341-2012-12-18",20,10,2012-12-18,"HA1",2012,"M","Adult",35.2941176470588,0,1,2,0.333333333333333,2,16,0.111111111111111,4,27,0.129032258064516,4,32,0.111111111111111,7,45,0.134615384615385,7,47,0.12962962962963,7,51,0.120689655172414,8,62,0.114285714285714,8,67,0.106666666666667,8,70,0.102564102564103,11,94,0.104761904761905,13,114,0.102362204724409,16,140,0.102564102564103,18,179,0.0913705583756345,24,219,0.0987654320987654,36,272,0.116883116883117,40,292,0.120481927710843
"6774","79618628","79618628-2012-09-27",100,50,2012-09-27,"HA1",2012,"M","Adult",3781.81818181818,0,0,0,NA,0,2,0,0,4,0,1,8,0.111111111111111,1,15,0.0625,2,16,0.111111111111111,2,25,0.0740740740740741,3,27,0.1,4,30,0.117647058823529,4,37,0.0975609756097561,6,51,0.105263157894737,8,73,0.0987654320987654,8,89,0.0824742268041237,9,101,0.0818181818181818,11,123,0.082089552238806,14,148,0.0864197530864197,15,165,0.0833333333333333
"6796","79619290","79619290-2012-09-28",100,80,2012-09-28,"HA1",2012,"M","Adult",1392.98245614035,1,0,6,0,2,11,0.153846153846154,2,16,0.111111111111111,3,17,0.15,3,21,0.125,5,26,0.161290322580645,5,27,0.15625,6,30,0.166666666666667,6,35,0.146341463414634,6,37,0.13953488372093,6,59,0.0923076923076923,7,71,0.0897435897435897,9,83,0.0978260869565217,9,102,0.0810810810810811,10,129,0.0719424460431655,12,150,0.0740740740740741,16,165,0.0883977900552486
"7027","79630010","79630010-2012-09-25",10,90,2012-09-25,"HA1",2012,"F","Adult",15.7894736842105,0,0,1,0,1,8,0.111111111111111,1,15,0.0625,1,21,0.0454545454545455,1,28,0.0344827586206897,1,28,0.0344827586206897,1,29,0.0333333333333333,1,37,0.0263157894736842,1,37,0.0263157894736842,1,38,0.0256410256410256,2,57,0.0338983050847458,3,75,0.0384615384615385,5,88,0.0537634408602151,8,112,0.0666666666666667,11,133,0.0763888888888889,14,148,0.0864197530864197,14,156,0.0823529411764706
"7091","79632292","79632292-2012-09-13",100,10,2012-09-13,"HA1",2012,"M","Adult",109.090909090909,0,0,3,0,0,6,0,0,7,0,0,9,0,1,11,0.0833333333333333,2,12,0.142857142857143,2,13,0.133333333333333,2,18,0.1,2,20,0.0909090909090909,2,20,0.0909090909090909,3,28,0.0967741935483871,4,37,0.0975609756097561,5,56,0.0819672131147541,8,68,0.105263157894737,9,96,0.0857142857142857,13,123,0.0955882352941176,13,141,0.0844155844155844
"7277","79639579","79639579-2012-08-14",80,100,2012-08-14,"HA1",2012,"F","Adult",121.212121212121,1,1,2,0.333333333333333,1,6,0.142857142857143,1,7,0.125,1,10,0.0909090909090909,1,13,0.0714285714285714,1,16,0.0588235294117647,1,16,0.0588235294117647,1,19,0.05,1,21,0.0454545454545455,1,21,0.0454545454545455,1,26,0.037037037037037,1,30,0.032258064516129,1,34,0.0285714285714286,2,47,0.0408163265306122,2,52,0.037037037037037,2,59,0.0327868852459016,3,63,0.0454545454545455
"7322","79769830","79769830-2012-09-11",90,40,2012-09-11,"HA1",2012,"F","Adult",484.615384615385,0,0,0,NA,0,3,0,1,7,0.125,1,7,0.125,1,11,0.0833333333333333,1,11,0.0833333333333333,1,14,0.0666666666666667,2,20,0.0909090909090909,2,26,0.0714285714285714,3,30,0.0909090909090909,3,48,0.0588235294117647,4,62,0.0606060606060606,7,76,0.0843373493975904,7,91,0.0714285714285714,8,113,0.0661157024793388,8,127,0.0592592592592593,9,129,0.0652173913043478
"7346","79770603","79770603-2012-09-11",40,100,2012-09-11,"HA1",2012,"M","Adult",5328.81355932204,0,0,1,0,0,7,0,0,9,0,0,13,0,0,17,0,0,19,0,0,24,0,1,26,0.037037037037037,1,29,0.0333333333333333,3,32,0.0857142857142857,4,49,0.0754716981132075,5,64,0.072463768115942,5,81,0.0581395348837209,6,89,0.0631578947368421,8,102,0.0727272727272727,9,114,0.0731707317073171,9,128,0.0656934306569343
"7401","79774854","79774854-2012-08-29",50,50,2012-08-29,"HA1",2012,"F","Adult",171.428571428571,0,0,0,NA,0,3,0,0,7,0,0,11,0,1,13,0.0714285714285714,1,15,0.0625,1,20,0.0476190476190476,1,27,0.0357142857142857,2,30,0.0625,2,32,0.0588235294117647,4,56,0.0666666666666667,6,98,0.0576923076923077,6,106,0.0535714285714286,6,108,0.0526315789473684,6,108,0.0526315789473684,6,108,0.0526315789473684,6,108,0.0526315789473684
"7512","79779379","79779379-2012-08-28",100,20,2012-08-28,"HA1",2012,"M","Adult",3.44827586206897,0,0,1,0,0,3,0,0,4,0,0,4,0,1,6,0.142857142857143,1,7,0.125,1,7,0.125,1,9,0.1,1,14,0.0666666666666667,1,15,0.0625,2,21,0.0869565217391304,2,34,0.0555555555555556,2,40,0.0476190476190476,2,50,0.0384615384615385,5,66,0.0704225352112676,5,81,0.0581395348837209,5,90,0.0526315789473684
"7566","79782524","79782524-2012-12-18",90,90,2012-12-18,"HA1",2012,"F","Adult",3.57142857142857,0,0,2,0,3,24,0.111111111111111,8,40,0.166666666666667,11,47,0.189655172413793,14,61,0.186666666666667,15,62,0.194805194805195,16,68,0.19047619047619,17,78,0.178947368421053,17,82,0.171717171717172,18,85,0.174757281553398,21,105,0.166666666666667,25,131,0.16025641025641,28,152,0.155555555555556,31,191,0.13963963963964,35,233,0.130597014925373,37,272,0.119741100323625,40,284,0.123456790123457
"7591","79783071","79783071-2012-10-09",0,40,2012-10-09,"HA1",2012,"F","NotAdult",1840,0,0,1,0,1,6,0.142857142857143,1,7,0.125,1,15,0.0625,3,19,0.136363636363636,3,25,0.107142857142857,3,29,0.09375,4,43,0.0851063829787234,5,46,0.0980392156862745,5,50,0.0909090909090909,7,69,0.0921052631578947,8,83,0.0879120879120879,9,109,0.076271186440678,9,122,0.0687022900763359,13,143,0.0833333333333333,16,165,0.0883977900552486,19,184,0.0935960591133005
"7712","79789358","79789358-2012-10-24",0,60,2012-10-24,"HA1",2012,"M","Adult",50,0,0,2,0,0,7,0,0,12,0,1,20,0.0476190476190476,2,31,0.0606060606060606,2,37,0.0512820512820513,4,44,0.0833333333333333,4,51,0.0727272727272727,4,54,0.0689655172413793,4,61,0.0615384615384615,8,91,0.0808080808080808,12,118,0.0923076923076923,14,139,0.0915032679738562,20,162,0.10989010989011,26,182,0.125,28,207,0.119148936170213,32,235,0.119850187265918
"7713","79789358","79789358-2012-11-20",10,30,2012-11-20,"HA1",2012,"M","Adult",3031.57894736842,0,0,1,0,3,9,0.25,4,22,0.153846153846154,5,30,0.142857142857143,6,40,0.130434782608696,7,47,0.12962962962963,7,53,0.116666666666667,9,68,0.116883116883117,9,73,0.109756097560976,9,78,0.103448275862069,10,101,0.0900900900900901,12,125,0.0875912408759124,18,156,0.103448275862069,22,192,0.102803738317757,27,221,0.108870967741935,35,258,0.119453924914676,37,275,0.118589743589744
"7730","79790568","79790568-2012-09-27",90,70,2012-09-27,"HA1",2012,"M","Adult",302.222222222222,0,0,3,0,2,7,0.222222222222222,2,16,0.111111111111111,2,19,0.0952380952380952,2,24,0.0769230769230769,3,26,0.103448275862069,3,28,0.0967741935483871,5,37,0.119047619047619,5,44,0.102040816326531,5,45,0.1,7,62,0.101449275362319,8,76,0.0952380952380952,8,95,0.0776699029126214,9,122,0.0687022900763359,11,140,0.0728476821192053,15,160,0.0857142857142857,15,168,0.0819672131147541
"7731","79790568","79790568-2012-10-09",90,80,2012-10-09,"HA1",2012,"M","Adult",260.31746031746,0,1,3,0.25,3,15,0.166666666666667,5,22,0.185185185185185,5,24,0.172413793103448,8,32,0.2,8,35,0.186046511627907,8,37,0.177777777777778,8,42,0.16,8,52,0.133333333333333,8,56,0.125,9,69,0.115384615384615,11,81,0.119565217391304,12,100,0.107142857142857,13,124,0.0948905109489051,14,150,0.0853658536585366,19,169,0.101063829787234,19,180,0.0954773869346734
"7735","79790568","79790568-2012-11-21",90,60,2012-11-21,"HA1",2012,"M","Adult",352.380952380952,1,0,2,0,1,11,0.0833333333333333,3,22,0.12,5,31,0.138888888888889,8,48,0.142857142857143,9,49,0.155172413793103,9,57,0.136363636363636,11,73,0.130952380952381,16,78,0.170212765957447,16,81,0.164948453608247,23,124,0.156462585034014,25,148,0.144508670520231,29,180,0.138755980861244,30,209,0.125523012552301,34,250,0.119718309859155,37,285,0.114906832298137,38,291,0.115501519756839
"7771","79792581","79792581-2012-10-11",90,70,2012-10-11,"HA1",2012,"F","Adult",400,0,0,4,0,3,13,0.1875,6,23,0.206896551724138,7,26,0.212121212121212,8,34,0.19047619047619,10,37,0.212765957446809,10,41,0.196078431372549,12,52,0.1875,12,61,0.164383561643836,12,63,0.16,15,84,0.151515151515152,18,103,0.148760330578512,18,126,0.125,20,156,0.113636363636364,22,180,0.108910891089109,27,206,0.11587982832618,27,216,0.111111111111111
"7882","79795857","79795857-2012-09-13",30,100,2012-09-13,"HA1",2012,"M","Adult",73.6842105263158,0,0,3,0,0,10,0,0,11,0,0,15,0,0,19,0,0,25,0,0,32,0,1,37,0.0263157894736842,1,42,0.0232558139534884,1,45,0.0217391304347826,4,63,0.0597014925373134,4,76,0.05,7,95,0.0686274509803922,9,113,0.0737704918032787,12,128,0.0857142857142857,14,139,0.0915032679738562,14,156,0.0823529411764706
"7894","79796354","79796354-2012-09-11",80,20,2012-09-11,"HA1",2012,"M","Adult",51.2820512820513,1,0,0,NA,1,2,0.333333333333333,1,4,0.2,1,10,0.0909090909090909,2,18,0.1,2,20,0.0909090909090909,2,23,0.08,2,25,0.0740740740740741,2,27,0.0689655172413793,2,29,0.0645161290322581,2,39,0.0487804878048781,3,51,0.0555555555555556,5,68,0.0684931506849315,8,95,0.0776699029126214,8,116,0.0645161290322581,8,125,0.0601503759398496,9,128,0.0656934306569343
"7921","79797266","79797266-2012-09-11",20,30,2012-09-11,"HA1",2012,"F","NotAdult",7880,0,0,0,NA,0,4,0,1,10,0.0909090909090909,1,12,0.0769230769230769,2,29,0.0645161290322581,2,32,0.0588235294117647,2,35,0.0540540540540541,2,41,0.0465116279069767,2,46,0.0416666666666667,3,48,0.0588235294117647,3,61,0.046875,4,70,0.0540540540540541,5,84,0.0561797752808989,6,101,0.0560747663551402,7,118,0.056,9,129,0.0652173913043478,9,129,0.0652173913043478
