"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","MHV","BartAny","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4421","79623797","79623797-2012-08-30",10,40,2012-08-30,"HA1",2012,"M","Adult",0,1,1,1,0.5,2,3,0.4,2,4,0.333333333333333,4,5,0.444444444444444,11,9,0.55,12,9,0.571428571428571,16,14,0.533333333333333,18,17,0.514285714285714,20,18,0.526315789473684,23,21,0.522727272727273,27,23,0.54,31,31,0.5,35,39,0.472972972972973,44,46,0.488888888888889,52,52,0.5,63,58,0.520661157024793,64,58,0.524590163934426
"4424","79797893","79797893-2012-08-30",0,30,2012-08-30,"HA1",2012,"M","Adult",0,0,0,0,NA,3,2,0.6,5,4,0.555555555555556,5,5,0.5,9,10,0.473684210526316,9,11,0.45,10,12,0.454545454545455,14,13,0.518518518518518,18,16,0.529411764705882,18,17,0.514285714285714,24,20,0.545454545454545,28,24,0.538461538461538,31,31,0.5,38,39,0.493506493506494,40,47,0.459770114942529,52,50,0.509803921568627,59,55,0.517543859649123
"4462","79788371","79788371-2012-09-11",10,0,2012-09-11,"HA1",2012,"M","Adult",0,1,2,1,0.666666666666667,6,5,0.545454545454545,6,6,0.5,7,8,0.466666666666667,10,11,0.476190476190476,11,11,0.5,13,11,0.541666666666667,13,12,0.52,15,12,0.555555555555556,17,13,0.566666666666667,19,18,0.513513513513513,26,25,0.509803921568627,31,30,0.508196721311475,36,38,0.486486486486487,40,42,0.48780487804878,50,48,0.510204081632653,56,58,0.491228070175439
"4465","49811771","49811771-2012-09-11",20,50,2012-09-11,"HA1",2012,"F","Adult",0,1,0,0,NA,4,2,0.666666666666667,7,3,0.7,9,5,0.642857142857143,13,10,0.565217391304348,13,12,0.52,15,14,0.517241379310345,18,17,0.514285714285714,22,18,0.55,22,20,0.523809523809524,32,38,0.457142857142857,42,49,0.461538461538462,49,52,0.485148514851485,59,61,0.491666666666667,71,67,0.514492753623188,71,67,0.514492753623188,71,67,0.514492753623188
"4469","79797359","79797359-2012-09-11",20,50,2012-09-11,"HA1",2012,"F","Adult",0,1,0,0,NA,4,2,0.666666666666667,7,3,0.7,9,5,0.642857142857143,13,10,0.565217391304348,13,12,0.52,15,14,0.517241379310345,18,17,0.514285714285714,22,18,0.55,22,20,0.523809523809524,32,38,0.457142857142857,42,49,0.461538461538462,49,52,0.485148514851485,59,61,0.491666666666667,71,67,0.514492753623188,71,67,0.514492753623188,71,67,0.514492753623188
"4471","79797266","79797266-2012-09-11",20,30,2012-09-11,"HA1",2012,"F","NotAdult",0,1,0,0,NA,2,2,0.5,7,4,0.636363636363636,7,6,0.538461538461538,17,14,0.548387096774194,18,16,0.529411764705882,20,17,0.540540540540541,22,21,0.511627906976744,25,23,0.520833333333333,27,24,0.529411764705882,30,34,0.46875,35,39,0.472972972972973,41,48,0.460674157303371,52,55,0.485981308411215,63,62,0.504,71,67,0.514492753623188,71,67,0.514492753623188
"4474","66859820","66859820-2012-09-11",60,50,2012-09-11,"HA1",2012,"M","Adult",0,1,0,1,0,2,4,0.333333333333333,2,5,0.285714285714286,6,7,0.461538461538462,7,11,0.388888888888889,8,12,0.4,13,14,0.481481481481481,14,17,0.451612903225806,18,18,0.5,18,20,0.473684210526316,39,35,0.527027027027027,57,54,0.513513513513513,63,66,0.488372093023256,71,67,0.514492753623188,71,67,0.514492753623188,71,67,0.514492753623188,71,67,0.514492753623188
"4476","79796354","79796354-2012-09-11",80,20,2012-09-11,"HA1",2012,"M","Adult",0,1,0,0,NA,1,2,0.333333333333333,2,3,0.4,4,7,0.363636363636364,10,10,0.5,11,11,0.5,13,12,0.52,15,12,0.555555555555556,15,14,0.517241379310345,17,14,0.548387096774194,22,19,0.536585365853659,29,25,0.537037037037037,38,35,0.520547945205479,57,46,0.553398058252427,63,61,0.508064516129032,66,67,0.496240601503759,70,67,0.510948905109489
"4477","79769830","79769830-2012-09-11",90,40,2012-09-11,"HA1",2012,"F","Adult",1,0,0,0,NA,2,1,0.666666666666667,6,2,0.75,6,2,0.75,8,4,0.666666666666667,8,4,0.666666666666667,10,5,0.666666666666667,13,9,0.590909090909091,14,14,0.5,16,17,0.484848484848485,26,25,0.509803921568627,35,31,0.53030303030303,45,38,0.542168674698795,51,47,0.520408163265306,62,59,0.512396694214876,68,67,0.503703703703704,71,67,0.514492753623188
"4480","66808052","66808052-2012-09-11",100,10,2012-09-11,"HA1",2012,"M","Adult",0,1,1,1,0.5,3,2,0.6,4,2,0.666666666666667,5,3,0.625,5,4,0.555555555555556,6,5,0.545454545454545,7,5,0.583333333333333,9,6,0.6,9,8,0.529411764705882,9,8,0.529411764705882,15,11,0.576923076923077,16,14,0.533333333333333,26,23,0.530612244897959,32,28,0.533333333333333,43,40,0.518072289156627,58,49,0.542056074766355,63,59,0.516393442622951
"4482","79637279","79637279-2012-09-12",0,100,2012-09-12,"HA1",2012,"M","Adult",0,1,2,0,1,6,1,0.857142857142857,7,1,0.875,8,3,0.727272727272727,9,5,0.642857142857143,9,6,0.6,10,9,0.526315789473684,12,12,0.5,13,12,0.52,13,16,0.448275862068966,15,20,0.428571428571429,23,26,0.469387755102041,30,35,0.461538461538462,43,45,0.488636363636364,52,51,0.504854368932039,63,66,0.488372093023256,75,74,0.503355704697987
"4484","79630010","79630010-2012-09-12",40,80,2012-09-12,"HA1",2012,"F","Adult",0,1,0,0,NA,1,3,0.25,1,5,0.166666666666667,3,8,0.272727272727273,5,14,0.263157894736842,10,20,0.333333333333333,12,23,0.342857142857143,20,27,0.425531914893617,26,30,0.464285714285714,28,31,0.474576271186441,46,45,0.505494505494505,58,55,0.513274336283186,65,64,0.503875968992248,75,71,0.513698630136986,83,80,0.50920245398773,86,81,0.514970059880239,86,81,0.514970059880239
"4493","79795857","79795857-2012-09-13",30,100,2012-09-13,"HA1",2012,"M","Adult",0,0,1,2,0.333333333333333,3,7,0.3,3,8,0.272727272727273,5,10,0.333333333333333,7,12,0.368421052631579,9,16,0.36,14,18,0.4375,17,21,0.447368421052632,20,23,0.465116279069767,21,25,0.456521739130435,33,34,0.492537313432836,42,38,0.525,51,51,0.5,65,57,0.532786885245902,73,67,0.521428571428571,80,73,0.522875816993464,90,80,0.529411764705882
"4507","79630010","79630010-2012-09-25",10,90,2012-09-25,"HA1",2012,"F","Adult",0,1,1,0,1,6,3,0.666666666666667,10,6,0.625,13,9,0.590909090909091,16,13,0.551724137931034,16,13,0.551724137931034,16,14,0.533333333333333,20,18,0.526315789473684,20,18,0.526315789473684,20,19,0.512820512820513,30,29,0.508474576271186,39,39,0.5,46,47,0.494623655913978,62,58,0.516666666666667,74,70,0.513888888888889,85,77,0.524691358024691,89,81,0.523529411764706
"4509","79796354","79796354-2012-09-25",10,20,2012-09-25,"HA1",2012,"M","Adult",0,1,1,1,0.5,8,7,0.533333333333333,9,10,0.473684210526316,16,12,0.571428571428571,18,18,0.5,19,19,0.5,21,19,0.525,23,20,0.534883720930233,27,22,0.551020408163265,27,23,0.54,37,30,0.552238805970149,41,36,0.532467532467532,47,43,0.522222222222222,57,53,0.518181818181818,69,69,0.5,84,79,0.515337423312883,93,84,0.525423728813559
"4511","67006795","67006795-2012-09-25",20,40,2012-09-25,"HA1",2012,"M","Adult",0,1,0,2,0,7,3,0.7,11,5,0.6875,16,9,0.64,19,13,0.59375,24,16,0.6,25,19,0.568181818181818,31,25,0.553571428571429,31,27,0.53448275862069,31,29,0.516666666666667,43,41,0.511904761904762,50,51,0.495049504950495,63,67,0.484615384615385,78,74,0.513157894736842,93,84,0.525423728813559,94,85,0.525139664804469,94,85,0.525139664804469
"4517","66818332","66818332-2012-09-11",10,80,2012-09-11,"HA1",2012,"F","Adult",0,0,1,1,0.5,4,3,0.571428571428571,7,4,0.636363636363636,9,4,0.692307692307692,12,9,0.571428571428571,13,11,0.541666666666667,13,11,0.541666666666667,13,13,0.5,15,15,0.5,17,18,0.485714285714286,23,25,0.479166666666667,26,34,0.433333333333333,40,42,0.48780487804878,52,52,0.5,61,61,0.5,66,64,0.507692307692308,69,66,0.511111111111111
"4518","79630102","79630102-2012-09-11",20,100,2012-09-11,"HA1",2012,"M","Adult",0,1,0,2,0,3,4,0.428571428571429,4,5,0.444444444444444,5,7,0.416666666666667,8,9,0.470588235294118,8,9,0.470588235294118,9,11,0.45,11,13,0.458333333333333,11,16,0.407407407407407,15,16,0.483870967741935,17,22,0.435897435897436,26,31,0.456140350877193,33,37,0.471428571428571,40,43,0.481927710843373,55,53,0.509259259259259,60,59,0.504201680672269,65,63,0.5078125
"4526","84587833","84587833-2012-09-11",80,60,2012-09-11,"HA1",2012,"F","Adult",0,0,0,0,NA,2,0,1,5,2,0.714285714285714,6,6,0.5,8,9,0.470588235294118,14,11,0.56,17,12,0.586206896551724,20,14,0.588235294117647,23,20,0.534883720930233,26,21,0.553191489361702,33,34,0.492537313432836,42,39,0.518518518518518,48,45,0.516129032258065,57,56,0.504424778761062,68,66,0.507462686567164,71,67,0.514492753623188,71,67,0.514492753623188
"4527","79618812","79618812-2012-09-11",80,60,2012-09-11,"HA1",2012,"M","Adult",0,0,0,0,NA,2,0,1,5,2,0.714285714285714,6,6,0.5,8,9,0.470588235294118,14,11,0.56,17,12,0.586206896551724,20,14,0.588235294117647,23,20,0.534883720930233,26,21,0.553191489361702,33,34,0.492537313432836,42,39,0.518518518518518,48,45,0.516129032258065,57,56,0.504424778761062,68,66,0.507462686567164,71,67,0.514492753623188,71,67,0.514492753623188
"4545","79619290","79619290-2012-09-28",100,80,2012-09-28,"HA1",2012,"M","Adult",0,1,4,2,0.666666666666667,7,6,0.538461538461538,9,9,0.5,10,10,0.5,13,11,0.541666666666667,17,14,0.548387096774194,18,14,0.5625,22,15,0.594594594594595,25,17,0.595238095238095,28,17,0.622222222222222,37,31,0.544117647058823,44,37,0.54320987654321,50,45,0.526315789473684,59,56,0.51304347826087,75,69,0.520833333333333,92,76,0.547619047619048,103,86,0.544973544973545
"4548","66843623","66843623-2012-09-28",100,90,2012-09-28,"HA1",2012,"M","Adult",0,1,1,1,0.5,5,4,0.555555555555556,6,7,0.461538461538462,9,8,0.529411764705882,16,12,0.571428571428571,16,12,0.571428571428571,18,12,0.6,20,14,0.588235294117647,20,17,0.540540540540541,21,19,0.525,31,27,0.53448275862069,37,35,0.513888888888889,46,41,0.528735632183908,55,52,0.514018691588785,70,60,0.538461538461538,88,72,0.55,99,81,0.55
"4551","79612036","79612036-2012-09-12",30,30,2012-09-12,"HA1",2012,"M","NotAdult",0,1,0,1,0,3,1,0.75,7,6,0.538461538461538,10,8,0.555555555555556,17,15,0.53125,21,18,0.538461538461538,22,21,0.511627906976744,29,25,0.537037037037037,33,28,0.540983606557377,33,29,0.532258064516129,41,41,0.5,48,53,0.475247524752475,56,61,0.478632478632479,75,73,0.506756756756757,85,80,0.515151515151515,86,81,0.514970059880239,86,81,0.514970059880239
"4558","79632292","79632292-2012-09-13",100,10,2012-09-13,"HA1",2012,"M","Adult",1,0,2,1,0.666666666666667,4,2,0.666666666666667,5,2,0.714285714285714,6,3,0.666666666666667,8,4,0.666666666666667,9,5,0.642857142857143,10,5,0.666666666666667,12,8,0.6,12,10,0.545454545454545,12,10,0.545454545454545,18,13,0.580645161290323,22,19,0.536585365853659,33,28,0.540983606557377,41,35,0.539473684210526,56,49,0.533333333333333,76,60,0.558823529411765,82,72,0.532467532467532
"4587","79618628","79618628-2012-09-27",100,50,2012-09-27,"HA1",2012,"M","Adult",0,1,0,0,NA,2,0,1,3,1,0.75,7,2,0.777777777777778,10,6,0.625,11,7,0.611111111111111,17,10,0.62962962962963,18,12,0.6,20,14,0.588235294117647,24,17,0.585365853658537,33,24,0.578947368421053,43,38,0.530864197530864,52,45,0.536082474226804,59,51,0.536363636363636,69,65,0.514925373134328,84,78,0.518518518518518,94,86,0.522222222222222
"4589","79790568","79790568-2012-09-27",90,70,2012-09-27,"HA1",2012,"M","Adult",0,0,2,1,0.666666666666667,5,4,0.555555555555556,10,8,0.555555555555556,11,10,0.523809523809524,16,10,0.615384615384615,19,10,0.655172413793103,19,12,0.612903225806452,25,17,0.595238095238095,27,22,0.551020408163265,28,22,0.56,35,34,0.507246376811594,43,41,0.511904761904762,53,50,0.514563106796116,68,63,0.519083969465649,81,70,0.536423841059603,91,84,0.52,97,86,0.530054644808743
"4592","79775849","79775849-2012-09-27",90,30,2012-09-27,"HA1",2012,"F","Adult",0,1,1,0,1,3,2,0.6,6,4,0.6,8,5,0.615384615384615,12,8,0.6,13,8,0.619047619047619,16,9,0.64,17,13,0.566666666666667,20,16,0.555555555555556,22,17,0.564102564102564,26,27,0.490566037735849,39,33,0.541666666666667,50,41,0.549450549450549,66,56,0.540983606557377,81,71,0.532894736842105,91,85,0.517045454545455,95,86,0.524861878453039
"4596","79786569","79786569-2012-09-27",60,100,2012-09-27,"HA1",2012,"M","Adult",0,0,2,3,0.4,3,9,0.25,5,10,0.333333333333333,10,13,0.434782608695652,13,16,0.448275862068966,15,16,0.483870967741935,17,20,0.459459459459459,18,23,0.439024390243902,19,25,0.431818181818182,20,30,0.4,34,39,0.465753424657534,53,45,0.540816326530612,60,52,0.535714285714286,69,62,0.526717557251908,78,67,0.537931034482759,85,77,0.524691358024691,94,85,0.525139664804469
"4598","66866543","66866543-2012-09-27",50,0,2012-09-27,"HA1",2012,"F","NotAdult",0,0,1,0,1,2,1,0.666666666666667,2,1,0.666666666666667,4,5,0.444444444444444,7,7,0.5,8,7,0.533333333333333,8,9,0.470588235294118,9,13,0.409090909090909,12,17,0.413793103448276,16,19,0.457142857142857,31,28,0.525423728813559,50,38,0.568181818181818,56,44,0.56,59,50,0.541284403669725,69,61,0.530769230769231,80,71,0.529801324503311,95,86,0.524861878453039
"4608","79637279","79637279-2012-09-27",0,80,2012-09-27,"HA1",2012,"M","Adult",0,1,0,0,NA,3,4,0.428571428571429,7,6,0.538461538461538,10,9,0.526315789473684,13,10,0.565217391304348,17,12,0.586206896551724,17,13,0.566666666666667,18,14,0.5625,22,17,0.564102564102564,23,18,0.560975609756098,33,29,0.532258064516129,41,35,0.539473684210526,49,48,0.505154639175258,61,59,0.508333333333333,75,70,0.517241379310345,86,78,0.524390243902439,92,82,0.528735632183908
"4612","79786865","79786865-2012-09-28",60,40,2012-09-28,"HA1",2012,"M","Adult",0,1,0,0,NA,3,3,0.5,6,4,0.6,9,10,0.473684210526316,13,13,0.5,17,15,0.53125,18,16,0.529411764705882,25,19,0.568181818181818,29,20,0.591836734693878,33,23,0.589285714285714,64,48,0.571428571428571,84,67,0.556291390728477,99,90,0.523809523809524,110,93,0.541871921182266,113,93,0.548543689320388,113,93,0.548543689320388,113,93,0.548543689320388
"4615","79797793","79797793-2012-09-28",0,10,2012-09-28,"HA1",2012,"F","Adult",0,0,1,0,1,7,4,0.636363636363636,12,6,0.666666666666667,12,9,0.571428571428571,14,12,0.538461538461538,15,12,0.555555555555556,16,14,0.533333333333333,22,16,0.578947368421053,24,19,0.558139534883721,24,20,0.545454545454545,33,25,0.568965517241379,39,30,0.565217391304348,48,35,0.578313253012048,56,47,0.543689320388349,72,55,0.566929133858268,86,72,0.544303797468354,99,82,0.546961325966851
"4646","79617035","79617035-2012-10-09",100,0,2012-10-09,"HA1",2012,"F","Adult",0,0,0,0,NA,3,2,0.6,4,2,0.666666666666667,5,4,0.555555555555556,5,5,0.5,6,5,0.545454545454545,10,7,0.588235294117647,12,7,0.631578947368421,13,8,0.619047619047619,14,9,0.608695652173913,20,15,0.571428571428571,27,16,0.627906976744186,34,23,0.596491228070175,48,36,0.571428571428571,65,48,0.575221238938053,87,60,0.591836734693878,99,74,0.572254335260116
"4648","79775849","79775849-2012-10-09",100,40,2012-10-09,"HA1",2012,"F","Adult",0,1,1,0,1,4,1,0.8,8,1,0.888888888888889,10,3,0.769230769230769,14,4,0.777777777777778,15,6,0.714285714285714,20,10,0.666666666666667,24,13,0.648648648648649,24,14,0.631578947368421,30,16,0.652173913043478,41,31,0.569444444444444,50,36,0.581395348837209,62,46,0.574074074074074,73,59,0.553030303030303,86,71,0.547770700636943,102,88,0.536842105263158,112,95,0.541062801932367
"4651","79638837","79638837-2012-10-09",100,80,2012-10-09,"HA1",2012,"M","Adult",0,0,5,2,0.714285714285714,11,7,0.611111111111111,13,10,0.565217391304348,14,11,0.56,17,12,0.586206896551724,21,15,0.583333333333333,22,15,0.594594594594595,26,17,0.604651162790698,29,19,0.604166666666667,32,19,0.627450980392157,41,33,0.554054054054054,49,39,0.556818181818182,55,47,0.53921568627451,64,58,0.524590163934426,80,71,0.529801324503311,97,78,0.554285714285714,108,88,0.551020408163265
"4652","79619290","79619290-2012-10-09",100,90,2012-10-09,"HA1",2012,"M","Adult",1,1,2,1,0.666666666666667,7,4,0.636363636363636,9,7,0.5625,13,9,0.590909090909091,20,13,0.606060606060606,20,13,0.606060606060606,22,14,0.611111111111111,24,16,0.6,24,19,0.558139534883721,25,21,0.543478260869565,35,29,0.546875,41,37,0.525641025641026,51,43,0.542553191489362,60,54,0.526315789473684,75,62,0.547445255474453,93,74,0.55688622754491,104,83,0.556149732620321
"4654","79790568","79790568-2012-10-09",90,80,2012-10-09,"HA1",2012,"M","Adult",0,0,2,2,0.5,10,8,0.555555555555556,16,11,0.592592592592593,17,12,0.586206896551724,23,17,0.575,24,19,0.558139534883721,28,19,0.595744680851064,31,21,0.596153846153846,34,28,0.548387096774194,35,31,0.53030303030303,45,36,0.555555555555556,51,44,0.536842105263158,62,54,0.53448275862069,77,65,0.542253521126761,95,75,0.558823529411765,108,88,0.551020408163265,113,94,0.545893719806763
"4661","79630840","79630840-2012-10-09",70,70,2012-10-09,"HA1",2012,"F","NotAdult",0,0,0,1,0,0,1,0,3,7,0.3,8,10,0.444444444444444,17,17,0.5,21,19,0.525,25,23,0.520833333333333,40,31,0.563380281690141,44,39,0.530120481927711,44,40,0.523809523809524,60,51,0.540540540540541,75,64,0.539568345323741,92,73,0.557575757575758,107,87,0.551546391752577,113,94,0.545893719806763,118,96,0.551401869158878,118,96,0.551401869158878
"4664","79786569","79786569-2012-10-09",60,70,2012-10-09,"HA1",2012,"M","Adult",0,0,0,0,NA,2,4,0.333333333333333,3,6,0.333333333333333,4,9,0.307692307692308,12,14,0.461538461538462,17,16,0.515151515151515,22,22,0.5,28,29,0.491228070175439,39,37,0.513157894736842,43,40,0.518072289156627,69,62,0.526717557251908,86,67,0.562091503267974,98,78,0.556818181818182,113,93,0.548543689320388,117,96,0.549295774647887,118,96,0.551401869158878,118,96,0.551401869158878
"4665","79781605","79781605-2012-10-09",60,40,2012-10-09,"HA1",2012,"F","Adult",0,1,1,0,1,4,3,0.571428571428571,7,4,0.636363636363636,10,10,0.5,14,13,0.518518518518518,18,15,0.545454545454545,19,16,0.542857142857143,26,19,0.577777777777778,30,20,0.6,34,23,0.596491228070175,67,49,0.577586206896552,88,69,0.560509554140127,104,93,0.527918781725888,115,96,0.545023696682464,118,96,0.551401869158878,118,96,0.551401869158878,118,96,0.551401869158878
"4678","66887847","66887847-2012-10-10",100,40,2012-10-10,"HA1",2012,"M","Adult",0,1,2,0,1,5,1,0.833333333333333,9,1,0.9,11,4,0.733333333333333,16,5,0.761904761904762,18,7,0.72,23,13,0.638888888888889,28,16,0.636363636363636,29,17,0.630434782608696,36,21,0.631578947368421,49,39,0.556818181818182,58,45,0.563106796116505,71,56,0.559055118110236,84,71,0.541935483870968,99,84,0.540983606557377,115,103,0.527522935779816,125,113,0.525210084033613
"4685","79792581","79792581-2012-10-11",90,70,2012-10-11,"HA1",2012,"F","Adult",0,0,2,2,0.5,8,8,0.5,14,15,0.482758620689655,16,18,0.470588235294118,24,19,0.558139534883721,27,21,0.5625,27,25,0.519230769230769,37,30,0.552238805970149,41,35,0.539473684210526,43,35,0.551282051282051,54,48,0.529411764705882,68,56,0.548387096774194,79,69,0.533783783783784,97,85,0.532967032967033,111,97,0.533653846153846,126,115,0.522821576763486,133,118,0.529880478087649
"4690","66885846","66885846-2012-10-11",60,20,2012-10-11,"HA1",2012,"M","Adult",0,0,1,1,0.5,3,4,0.428571428571429,3,5,0.375,9,6,0.6,15,12,0.555555555555556,18,15,0.545454545454545,21,16,0.567567567567568,29,19,0.604166666666667,35,22,0.614035087719298,37,28,0.569230769230769,59,45,0.567307692307692,80,57,0.583941605839416,92,75,0.550898203592814,108,98,0.524271844660194,125,116,0.518672199170125,134,119,0.529644268774704,134,119,0.529644268774704
"4693","67124339","67124339-2012-10-11",0,70,2012-10-11,"HA1",2012,"M","Adult",0,0,0,2,0,3,6,0.333333333333333,4,9,0.307692307692308,9,12,0.428571428571429,16,13,0.551724137931034,18,15,0.545454545454545,22,17,0.564102564102564,28,20,0.583333333333333,33,27,0.55,33,29,0.532258064516129,48,41,0.539325842696629,57,52,0.522935779816514,70,73,0.48951048951049,83,83,0.5,99,94,0.512953367875648,114,108,0.513513513513513,130,114,0.532786885245902
"4718","66808052","66808052-2012-10-09",0,0,2012-10-09,"HA1",2012,"M","Adult",0,0,1,0,1,5,2,0.714285714285714,8,5,0.615384615384615,10,7,0.588235294117647,12,10,0.545454545454545,13,12,0.52,14,14,0.5,15,15,0.5,18,15,0.545454545454545,20,16,0.555555555555556,29,22,0.568627450980392,34,29,0.53968253968254,43,36,0.544303797468354,52,41,0.559139784946237,63,51,0.552631578947368,78,60,0.565217391304348,92,74,0.55421686746988
"4729","79783071","79783071-2012-10-09",0,40,2012-10-09,"HA1",2012,"F","NotAdult",0,0,1,1,0.5,4,4,0.5,5,4,0.555555555555556,8,9,0.470588235294118,13,11,0.541666666666667,17,13,0.566666666666667,19,15,0.558823529411765,27,22,0.551020408163265,31,24,0.563636363636364,34,25,0.576271186440678,46,35,0.567901234567901,58,38,0.604166666666667,69,54,0.560975609756098,73,65,0.528985507246377,84,79,0.515337423312883,103,86,0.544973544973545,116,95,0.549763033175355
"4734","79630010","79630010-2012-10-09",20,60,2012-10-09,"HA1",2012,"F","Adult",0,1,3,0,1,7,1,0.875,11,4,0.733333333333333,13,9,0.590909090909091,19,15,0.558823529411765,23,17,0.575,24,18,0.571428571428571,32,20,0.615384615384615,36,26,0.580645161290323,38,33,0.535211267605634,58,51,0.532110091743119,69,67,0.507352941176471,85,75,0.53125,100,86,0.537634408602151,115,94,0.550239234449761,118,96,0.551401869158878,118,96,0.551401869158878
"4735","67089554","67089554-2012-10-09",30,60,2012-10-09,"HA1",2012,"F","Adult",0,0,1,0,1,7,1,0.875,11,3,0.785714285714286,12,3,0.8,19,9,0.678571428571429,24,15,0.615384615384615,26,22,0.541666666666667,28,27,0.509090909090909,37,29,0.560606060606061,41,33,0.554054054054054,65,60,0.52,79,72,0.52317880794702,98,83,0.541436464088398,114,93,0.550724637681159,118,96,0.551401869158878,118,96,0.551401869158878,118,96,0.551401869158878
"4736","79769626","79769626-2012-10-09",40,80,2012-10-09,"HA1",2012,"F","Adult",0,1,1,0,1,2,3,0.4,3,5,0.375,6,8,0.428571428571429,10,17,0.37037037037037,16,26,0.380952380952381,18,29,0.382978723404255,29,34,0.46031746031746,35,38,0.479452054794521,38,40,0.487179487179487,62,54,0.53448275862069,80,65,0.551724137931034,92,76,0.547619047619048,104,83,0.556149732620321,115,94,0.550239234449761,118,96,0.551401869158878,118,96,0.551401869158878
"4751","79639272","79639272-2012-10-10",0,90,2012-10-10,"HA1",2012,"M","Adult",0,0,4,1,0.8,11,1,0.916666666666667,14,4,0.777777777777778,14,7,0.666666666666667,17,12,0.586206896551724,18,12,0.6,19,15,0.558823529411765,21,19,0.525,25,19,0.568181818181818,26,21,0.553191489361702,36,30,0.545454545454545,43,43,0.5,57,56,0.504424778761062,70,66,0.514705882352941,86,80,0.518072289156627,106,95,0.527363184079602,119,105,0.53125
