"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","Tryps","HpolINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"7456","79776883","79776883-2012-11-07",90,80,2012-11-07,"HA1",2012,"M","Adult",1,"0",0,5,0,5,26,0.161290322580645,8,51,0.135593220338983,8,64,0.111111111111111,12,88,0.12,14,99,0.123893805309735,15,104,0.126050420168067,18,113,0.137404580152672,19,132,0.125827814569536,21,140,0.130434782608696,30,171,0.149253731343284,37,214,0.147410358565737,53,267,0.165625,68,329,0.171284634760705,85,394,0.177453027139875,98,464,0.174377224199288,103,489,0.173986486486486
"7493","79778567","79778567-2012-10-10",10,0,2012-10-10,"HA1",2012,"F","Adult",0,"0",1,4,0.2,3,19,0.136363636363636,4,29,0.121212121212121,6,39,0.133333333333333,7,54,0.114754098360656,7,58,0.107692307692308,8,65,0.10958904109589,10,71,0.123456790123457,11,77,0.125,12,84,0.125,18,105,0.146341463414634,27,135,0.166666666666667,35,164,0.175879396984925,47,194,0.195020746887967,58,224,0.205673758865248,66,279,0.191304347826087,78,324,0.194029850746269
"7512","79779379","79779379-2012-08-28",100,20,2012-08-28,"HA1",2012,"M","Adult",0,"0",1,3,0.25,3,11,0.214285714285714,4,13,0.235294117647059,4,14,0.222222222222222,6,17,0.260869565217391,6,20,0.230769230769231,6,20,0.230769230769231,7,22,0.241379310344828,7,27,0.205882352941176,7,28,0.2,8,38,0.173913043478261,10,57,0.149253731343284,12,65,0.155844155844156,18,80,0.183673469387755,29,102,0.221374045801527,37,122,0.232704402515723,47,138,0.254054054054054
"7545","79781605","79781605-2012-10-09",60,40,2012-10-09,"HA1",2012,"F","Adult",0,"0",1,0,1,2,8,0.2,5,13,0.277777777777778,7,24,0.225806451612903,15,37,0.288461538461538,19,47,0.287878787878788,19,56,0.253333333333333,25,69,0.265957446808511,25,85,0.227272727272727,26,96,0.213114754098361,48,180,0.210526315789474,60,244,0.197368421052632,75,305,0.197368421052632,82,332,0.198067632850242,83,337,0.197619047619048,83,337,0.197619047619048,83,337,0.197619047619048
"7562","79782524","79782524-2012-10-24",40,100,2012-10-24,"HA1",2012,"F","Adult",1,"0",1,7,0.125,4,23,0.148148148148148,4,27,0.129032258064516,5,42,0.106382978723404,9,47,0.160714285714286,9,52,0.147540983606557,11,62,0.150684931506849,18,78,0.1875,21,94,0.182608695652174,25,109,0.186567164179104,38,179,0.175115207373272,48,217,0.181132075471698,57,272,0.173252279635258,63,308,0.169811320754717,76,360,0.174311926605505,87,401,0.17827868852459,94,449,0.173112338858195
"7563","79782524","79782524-2012-11-07",80,70,2012-11-07,"HA1",2012,"F","Adult",0,"0",0,4,0,4,19,0.173913043478261,5,39,0.113636363636364,7,57,0.109375,12,95,0.11214953271028,16,109,0.128,19,119,0.13768115942029,25,138,0.153374233128834,26,161,0.13903743315508,28,164,0.145833333333333,42,222,0.159090909090909,56,281,0.166172106824926,72,336,0.176470588235294,84,406,0.171428571428571,100,469,0.175746924428823,104,504,0.171052631578947,106,512,0.171521035598705
"7565","79782524","79782524-2012-11-21",100,100,2012-11-21,"HA1",2012,"F","Adult",0,"1",0,1,0,2,14,0.125,3,16,0.157894736842105,6,35,0.146341463414634,8,48,0.142857142857143,10,51,0.163934426229508,11,64,0.146666666666667,14,82,0.145833333333333,14,90,0.134615384615385,14,102,0.120689655172414,21,136,0.133757961783439,26,177,0.12807881773399,35,221,0.13671875,48,268,0.151898734177215,62,338,0.155,85,415,0.17,95,465,0.169642857142857
"7566","79782524","79782524-2012-12-18",90,90,2012-12-18,"HA1",2012,"F","Adult",0,"1",2,2,0.5,9,31,0.225,21,55,0.276315789473684,26,73,0.262626262626263,31,96,0.244094488188976,31,101,0.234848484848485,34,114,0.22972972972973,36,134,0.211764705882353,38,147,0.205405405405405,39,154,0.202072538860104,48,191,0.200836820083682,56,239,0.189830508474576,71,292,0.195592286501377,94,375,0.200426439232409,125,455,0.21551724137931,147,535,0.215542521994135,161,571,0.219945355191257
"7589","79783063","79783063-2012-12-06",100,90,2012-12-06,"HA1",2012,"F","Adult",0,"1",4,10,0.285714285714286,10,22,0.3125,11,36,0.234042553191489,13,49,0.209677419354839,22,70,0.239130434782609,23,76,0.232323232323232,25,92,0.213675213675214,29,109,0.210144927536232,31,115,0.212328767123288,33,120,0.215686274509804,37,178,0.172093023255814,49,214,0.186311787072243,60,259,0.188087774294671,78,325,0.193548387096774,103,397,0.206,122,473,0.205042016806723,141,528,0.210762331838565
"7590","79783063","79783063-2012-12-19",100,90,2012-12-19,"HA1",2012,"F","Adult",0,"1",5,10,0.333333333333333,14,23,0.378378378378378,15,37,0.288461538461538,17,50,0.253731343283582,27,71,0.275510204081633,28,77,0.266666666666667,30,94,0.241935483870968,34,111,0.23448275862069,36,117,0.235294117647059,38,125,0.233128834355828,43,183,0.190265486725664,55,220,0.2,67,268,0.2,86,335,0.204275534441805,115,408,0.219885277246654,140,486,0.223642172523962,160,542,0.227920227920228
"7591","79783071","79783071-2012-10-09",0,40,2012-10-09,"HA1",2012,"F","NotAdult",0,"0",0,3,0,5,10,0.333333333333333,5,18,0.217391304347826,8,30,0.210526315789474,12,42,0.222222222222222,13,51,0.203125,13,65,0.166666666666667,20,82,0.196078431372549,22,95,0.188034188034188,24,108,0.181818181818182,31,151,0.17032967032967,43,168,0.203791469194313,50,203,0.197628458498024,59,227,0.206293706293706,65,265,0.196969696969697,75,301,0.199468085106383,83,333,0.199519230769231
"7622","79785369","79785369-2012-10-10",30,10,2012-10-10,"HA1",2012,"M","NotAdult",0,"0",0,3,0,2,19,0.0952380952380952,4,29,0.121212121212121,5,38,0.116279069767442,11,52,0.174603174603175,13,59,0.180555555555556,13,70,0.156626506024096,17,95,0.151785714285714,19,109,0.1484375,23,111,0.171641791044776,28,145,0.161849710982659,43,175,0.197247706422018,54,206,0.207692307692308,62,259,0.193146417445483,72,304,0.191489361702128,82,359,0.1859410430839,84,372,0.184210526315789
"7659","79786360","79786360-2012-08-28",30,10,2012-08-28,"HA1",2012,"F","NotAdult",1,"0",0,2,0,1,6,0.142857142857143,2,13,0.133333333333333,3,19,0.136363636363636,5,24,0.172413793103448,5,29,0.147058823529412,5,33,0.131578947368421,8,44,0.153846153846154,10,50,0.166666666666667,14,51,0.215384615384615,16,66,0.195121951219512,27,79,0.254716981132075,32,92,0.258064516129032,36,108,0.25,43,120,0.263803680981595,50,137,0.267379679144385,52,144,0.26530612244898
"7660","79786360","79786360-2012-08-15",20,0,2012-08-15,"HA1",2012,"F","NotAdult",0,"0",0,1,0,2,6,0.25,3,13,0.1875,4,20,0.166666666666667,5,24,0.172413793103448,7,29,0.194444444444444,7,30,0.189189189189189,7,34,0.170731707317073,8,35,0.186046511627907,9,37,0.195652173913043,10,50,0.166666666666667,16,59,0.213333333333333,22,64,0.255813953488372,28,73,0.277227722772277,33,87,0.275,39,97,0.286764705882353,45,106,0.298013245033113
"7662","79786360","79786360-2012-09-11",30,30,2012-09-11,"HA1",2012,"F","Adult",1,"0",0,1,0,0,6,0,2,15,0.117647058823529,6,24,0.2,9,41,0.18,10,49,0.169491525423729,11,58,0.159420289855072,15,70,0.176470588235294,21,80,0.207920792079208,23,81,0.221153846153846,34,104,0.246376811594203,37,125,0.228395061728395,45,147,0.234375,57,180,0.240506329113924,61,193,0.240157480314961,61,197,0.236434108527132,61,197,0.236434108527132
"7670","79786569","79786569-2012-09-27",60,100,2012-09-27,"HA1",2012,"M","Adult",0,"0",0,6,0,5,11,0.3125,6,17,0.260869565217391,9,27,0.25,12,34,0.260869565217391,13,35,0.270833333333333,14,45,0.23728813559322,14,50,0.21875,14,55,0.202898550724638,15,62,0.194805194805195,25,98,0.203252032520325,37,132,0.218934911242604,40,163,0.197044334975369,51,185,0.216101694915254,57,220,0.205776173285199,66,242,0.214285714285714,69,269,0.20414201183432
"7671","79786569","79786569-2012-10-09",60,70,2012-10-09,"HA1",2012,"M","Adult",0,"0",0,1,0,0,11,0,5,15,0.25,7,21,0.25,12,40,0.230769230769231,13,53,0.196969696969697,18,65,0.216867469879518,22,84,0.207547169811321,30,104,0.223880597014925,31,113,0.215277777777778,47,184,0.203463203463203,61,233,0.207482993197279,70,274,0.203488372093023,81,319,0.2025,82,331,0.198547215496368,83,337,0.197619047619048,83,337,0.197619047619048
"7672","79786569","79786569-2012-10-23",70,100,2012-10-23,"HA1",2012,"M","Adult",1,"0",1,4,0.2,4,28,0.125,7,35,0.166666666666667,9,42,0.176470588235294,11,51,0.17741935483871,13,57,0.185714285714286,14,67,0.172839506172839,15,81,0.15625,18,99,0.153846153846154,20,113,0.150375939849624,28,145,0.161849710982659,32,172,0.156862745098039,46,227,0.168498168498169,59,281,0.173529411764706,73,319,0.186224489795918,82,365,0.1834451901566,87,403,0.177551020408163
"7674","79786569","79786569-2012-12-04",70,100,2012-12-04,"HA1",2012,"M","Adult",0,"1",1,6,0.142857142857143,5,38,0.116279069767442,8,46,0.148148148148148,10,57,0.149253731343284,14,69,0.168674698795181,17,83,0.17,19,97,0.163793103448276,24,121,0.16551724137931,28,140,0.166666666666667,32,161,0.16580310880829,42,212,0.165354330708661,46,250,0.155405405405405,65,328,0.165394402035623,84,402,0.172839506172839,103,452,0.185585585585586,121,515,0.190251572327044,129,566,0.185611510791367
"7675","79786569","79786569-2012-11-20",60,90,2012-11-20,"HA1",2012,"M","Adult",0,"0",2,2,0.5,3,27,0.1,8,42,0.16,10,54,0.15625,15,81,0.15625,15,88,0.145631067961165,17,99,0.146551724137931,23,133,0.147435897435897,29,146,0.165714285714286,31,158,0.164021164021164,46,241,0.160278745644599,58,311,0.157181571815718,73,373,0.163677130044843,86,431,0.166344294003868,103,482,0.176068376068376,108,543,0.165898617511521,111,560,0.165424739195231
"7676","79786569","79786569-2012-12-19",50,50,2012-12-19,"HA1",2012,"M","Adult",0,"0",0,2,0,5,16,0.238095238095238,7,31,0.184210526315789,15,46,0.245901639344262,20,78,0.204081632653061,23,91,0.201754385964912,30,107,0.218978102189781,37,145,0.203296703296703,44,177,0.199095022624434,46,188,0.196581196581197,101,355,0.221491228070175,155,550,0.219858156028369,175,607,0.223785166240409,187,631,0.228606356968215,187,631,0.228606356968215,187,631,0.228606356968215,187,631,0.228606356968215
"7703","79788371","79788371-2012-09-11",10,0,2012-09-11,"HA1",2012,"M","Adult",0,"0",1,3,0.25,3,15,0.166666666666667,4,21,0.16,5,26,0.161290322580645,6,36,0.142857142857143,6,39,0.133333333333333,7,44,0.137254901960784,8,46,0.148148148148148,9,49,0.155172413793103,10,53,0.158730158730159,12,64,0.157894736842105,19,83,0.186274509803922,26,96,0.213114754098361,35,111,0.23972602739726,41,125,0.246987951807229,45,154,0.226130653266332,56,171,0.246696035242291
"7712","79789358","79789358-2012-10-24",0,60,2012-10-24,"HA1",2012,"M","Adult",0,"1",2,3,0.4,7,12,0.368421052631579,11,21,0.34375,13,37,0.26,16,58,0.216216216216216,17,64,0.209876543209877,18,80,0.183673469387755,27,96,0.219512195121951,27,107,0.201492537313433,30,124,0.194805194805195,38,184,0.171171171171171,49,235,0.172535211267606,61,272,0.183183183183183,69,313,0.180628272251309,80,355,0.183908045977011,86,398,0.177685950413223,92,442,0.172284644194757
"7713","79789358","79789358-2012-11-20",10,30,2012-11-20,"HA1",2012,"M","Adult",0,"1",1,8,0.111111111111111,8,27,0.228571428571429,10,55,0.153846153846154,11,71,0.134146341463415,17,103,0.141666666666667,21,111,0.159090909090909,26,125,0.172185430463576,34,157,0.178010471204188,35,178,0.164319248826291,42,189,0.181818181818182,52,234,0.181818181818182,61,273,0.182634730538922,73,331,0.180693069306931,85,404,0.173824130879346,97,472,0.170474516695958,108,537,0.167441860465116,111,559,0.165671641791045
"7730","79790568","79790568-2012-09-27",90,70,2012-09-27,"HA1",2012,"M","Adult",0,"1",1,5,0.166666666666667,1,15,0.0625,4,23,0.148148148148148,4,27,0.129032258064516,6,38,0.136363636363636,8,44,0.153846153846154,8,48,0.142857142857143,11,60,0.154929577464789,14,66,0.175,15,68,0.180722891566265,23,93,0.198275862068966,33,116,0.221476510067114,44,144,0.234042553191489,51,185,0.216101694915254,59,225,0.207746478873239,68,261,0.206686930091185,70,273,0.204081632653061
"7731","79790568","79790568-2012-10-09",90,80,2012-10-09,"HA1",2012,"M","Adult",0,"0",0,4,0,5,19,0.208333333333333,6,35,0.146341463414634,6,41,0.127659574468085,10,57,0.149253731343284,12,63,0.16,12,68,0.15,14,73,0.160919540229885,15,86,0.148514851485149,17,89,0.160377358490566,26,106,0.196969696969697,32,134,0.192771084337349,44,165,0.210526315789474,57,208,0.215094339622642,69,258,0.211009174311927,78,304,0.204188481675393,81,322,0.200992555831266
"7732","79790568","79790568-2012-10-23",100,90,2012-10-23,"HA1",2012,"M","Adult",0,"0",0,5,0,2,16,0.111111111111111,2,25,0.0740740740740741,3,35,0.0789473684210526,8,50,0.137931034482759,8,53,0.131147540983607,9,64,0.123287671232877,10,76,0.116279069767442,11,81,0.119565217391304,13,84,0.134020618556701,17,125,0.119718309859155,27,143,0.158823529411765,35,171,0.169902912621359,44,215,0.16988416988417,61,264,0.187692307692308,72,323,0.182278481012658,81,363,0.182432432432432
"7733","79790568","79790568-2012-11-07",90,80,2012-11-07,"HA1",2012,"M","Adult",0,"1",0,5,0,5,26,0.161290322580645,8,51,0.135593220338983,8,64,0.111111111111111,12,88,0.12,14,99,0.123893805309735,15,104,0.126050420168067,18,113,0.137404580152672,19,132,0.125827814569536,21,140,0.130434782608696,30,171,0.149253731343284,37,214,0.147410358565737,53,267,0.165625,68,329,0.171284634760705,85,394,0.177453027139875,98,464,0.174377224199288,103,489,0.173986486486486
"7734","79790568","79790568-2012-12-04",100,90,2012-12-04,"HA1",2012,"M","Adult",0,"1",3,10,0.230769230769231,7,22,0.241379310344828,8,36,0.181818181818182,9,49,0.155172413793103,17,69,0.197674418604651,18,75,0.193548387096774,19,90,0.174311926605505,21,106,0.165354330708661,22,112,0.164179104477612,24,116,0.171428571428571,28,171,0.14070351758794,39,207,0.158536585365854,50,251,0.166112956810631,65,316,0.170603674540682,85,384,0.181236673773987,103,457,0.183928571428571,116,510,0.185303514376997
"7735","79790568","79790568-2012-11-21",90,60,2012-11-21,"HA1",2012,"M","Adult",1,"1",0,7,0,4,20,0.166666666666667,4,37,0.0975609756097561,6,58,0.09375,11,94,0.104761904761905,12,97,0.110091743119266,15,110,0.12,23,141,0.140243902439024,26,159,0.140540540540541,28,167,0.143589743589744,43,245,0.149305555555556,55,288,0.160349854227405,65,344,0.158924205378973,77,400,0.161425576519916,100,489,0.169779286926995,114,557,0.169895678092399,116,576,0.167630057803468
"7753","79792086","79792086-2012-12-18",100,20,2012-12-18,"HA1",2012,"F","Adult",0,"1",2,10,0.166666666666667,12,31,0.27906976744186,16,39,0.290909090909091,19,59,0.243589743589744,22,69,0.241758241758242,23,79,0.225490196078431,23,85,0.212962962962963,27,89,0.232758620689655,28,99,0.220472440944882,29,111,0.207142857142857,41,156,0.208121827411168,52,211,0.197718631178707,68,257,0.209230769230769,85,329,0.205314009661836,112,420,0.210526315789474,131,505,0.205974842767296,155,575,0.212328767123288
"7771","79792581","79792581-2012-10-11",90,70,2012-10-11,"HA1",2012,"F","Adult",0,"0",2,5,0.285714285714286,2,24,0.0769230769230769,5,38,0.116279069767442,7,45,0.134615384615385,9,62,0.126760563380282,11,73,0.130952380952381,11,82,0.118279569892473,14,102,0.120689655172414,18,110,0.140625,20,113,0.150375939849624,31,147,0.174157303370787,41,184,0.182222222222222,55,220,0.2,63,269,0.189759036144578,72,322,0.182741116751269,84,374,0.183406113537118,86,394,0.179166666666667
"7882","79795857","79795857-2012-09-13",30,100,2012-09-13,"HA1",2012,"M","Adult",0,"0",1,4,0.2,3,12,0.2,3,13,0.1875,6,16,0.272727272727273,8,22,0.266666666666667,11,28,0.282051282051282,14,38,0.269230769230769,17,45,0.274193548387097,20,53,0.273972602739726,21,57,0.269230769230769,33,79,0.294642857142857,38,105,0.265734265734266,43,133,0.244318181818182,48,162,0.228571428571429,54,185,0.225941422594142,60,213,0.21978021978022,65,237,0.21523178807947
"7893","79796354","79796354-2012-08-28",10,0,2012-08-28,"HA1",2012,"M","Adult",0,"0",1,2,0.333333333333333,3,13,0.1875,4,17,0.19047619047619,5,20,0.2,6,28,0.176470588235294,6,29,0.171428571428571,6,34,0.15,7,35,0.166666666666667,8,38,0.173913043478261,9,39,0.1875,10,48,0.172413793103448,17,62,0.215189873417722,23,72,0.242105263157895,31,85,0.267241379310345,35,95,0.269230769230769,39,114,0.254901960784314,47,121,0.279761904761905
"7894","79796354","79796354-2012-09-11",80,20,2012-09-11,"HA1",2012,"M","Adult",1,"1",0,1,0,2,4,0.333333333333333,4,7,0.363636363636364,6,16,0.272727272727273,9,30,0.230769230769231,9,32,0.219512195121951,9,35,0.204545454545455,11,37,0.229166666666667,11,43,0.203703703703704,12,46,0.206896551724138,15,64,0.189873417721519,21,85,0.19811320754717,27,108,0.2,40,145,0.216216216216216,54,177,0.233766233766234,59,191,0.236,60,196,0.234375
"7895","79796354","79796354-2012-09-25",10,20,2012-09-25,"HA1",2012,"M","Adult",1,"1",1,2,0.333333333333333,3,21,0.125,5,32,0.135135135135135,7,43,0.14,9,60,0.130434782608696,9,68,0.116883116883117,10,73,0.120481927710843,12,79,0.131868131868132,16,83,0.161616161616162,19,86,0.180952380952381,27,111,0.195652173913043,32,126,0.20253164556962,37,142,0.206703910614525,44,166,0.20952380952381,57,200,0.221789883268482,65,236,0.215946843853821,68,249,0.214511041009464
"7921","79797266","79797266-2012-09-11",20,30,2012-09-11,"HA1",2012,"F","NotAdult",0,"0",0,0,NA,1,11,0.0833333333333333,3,19,0.136363636363636,5,27,0.15625,11,47,0.189655172413793,13,53,0.196969696969697,15,58,0.205479452054795,18,73,0.197802197802198,22,80,0.215686274509804,23,84,0.214953271028037,29,98,0.228346456692913,36,111,0.244897959183673,40,136,0.227272727272727,53,159,0.25,58,184,0.239669421487603,61,197,0.236434108527132,61,197,0.236434108527132
"7926","79797359","79797359-2012-09-11",20,50,2012-09-11,"HA1",2012,"F","Adult",0,"0",0,2,0,5,9,0.357142857142857,8,16,0.333333333333333,11,21,0.34375,18,35,0.339622641509434,19,39,0.327586206896552,19,45,0.296875,22,56,0.282051282051282,25,63,0.284090909090909,26,67,0.279569892473118,32,103,0.237037037037037,44,131,0.251428571428571,50,145,0.256410256410256,55,173,0.241228070175439,61,197,0.236434108527132,61,197,0.236434108527132,61,197,0.236434108527132
"7941","79797793","79797793-2012-09-28",0,10,2012-09-28,"HA1",2012,"F","Adult",0,"0",0,4,0,3,22,0.12,6,28,0.176470588235294,8,34,0.19047619047619,8,47,0.145454545454545,8,49,0.140350877192982,8,55,0.126984126984127,9,70,0.113924050632911,10,76,0.116279069767442,12,76,0.136363636363636,18,96,0.157894736842105,25,120,0.172413793103448,35,142,0.19774011299435,38,166,0.186274509803922,51,199,0.204,63,241,0.207236842105263,72,282,0.203389830508475
"7943","79797793","79797793-2012-11-20",0,10,2012-11-20,"HA1",2012,"F","Adult",0,"0",0,9,0,4,37,0.0975609756097561,7,52,0.11864406779661,13,63,0.171052631578947,15,82,0.154639175257732,16,85,0.158415841584158,16,97,0.141592920353982,17,116,0.12781954887218,18,123,0.127659574468085,22,123,0.151724137931034,32,157,0.169312169312169,41,200,0.170124481327801,55,239,0.187074829931973,60,285,0.173913043478261,76,355,0.176334106728538,91,431,0.174329501915709,102,500,0.169435215946844
"7955","79797834","79797834-2012-08-28",60,80,2012-08-28,"HA1",2012,"F","NotAdult",0,"0",0,0,NA,3,0,1,4,3,0.571428571428571,5,10,0.333333333333333,9,20,0.310344827586207,11,24,0.314285714285714,11,26,0.297297297297297,14,31,0.311111111111111,15,40,0.272727272727273,16,44,0.266666666666667,23,64,0.264367816091954,34,81,0.295652173913043,41,92,0.308270676691729,46,112,0.291139240506329,50,135,0.27027027027027,52,144,0.26530612244898,52,144,0.26530612244898
"7960","79797884","79797884-2012-10-24",30,80,2012-10-24,"HA1",2012,"M","Adult",0,"0",0,0,NA,2,6,0.25,3,14,0.176470588235294,7,39,0.152173913043478,19,74,0.204301075268817,26,85,0.234234234234234,30,95,0.24,33,122,0.212903225806452,36,149,0.194594594594595,36,157,0.186528497409326,47,213,0.180769230769231,56,261,0.176656151419558,70,325,0.177215189873418,81,385,0.17381974248927,89,430,0.171483622350674,95,449,0.174632352941176,95,452,0.173674588665448
"7962","79797893","79797893-2012-08-30",0,30,2012-08-30,"HA1",2012,"M","Adult",0,"0",1,1,0.5,2,11,0.153846153846154,4,13,0.235294117647059,6,16,0.272727272727273,8,28,0.222222222222222,9,33,0.214285714285714,11,39,0.22,14,45,0.23728813559322,18,54,0.25,18,56,0.243243243243243,26,70,0.270833333333333,28,84,0.25,31,95,0.246031746031746,39,110,0.261744966442953,43,126,0.254437869822485,50,150,0.25,54,165,0.246575342465753
